Вид транспортного засобу,Марка/модель,Рік випуску,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Термін користування,Дата відчуження,Вартість відчуження,Наявність/відсутність обтяжень,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація,Область,Дата
Автомобілі легкові,А/м Тойота Чайзер,1996,,,,13.11.2001,"34774,58",,,,обтяження відсутнє,"3536,39",,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1800 куб.см.)",1996,,,,05.09.2002,"9372,93",,,,обтяження відсутнє,500,,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Терсел( Об""єм двигуна 1300 куб.см.)",1996,,,,06.06.2006,"7057,36",,,,обтяження відсутнє,500,,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1300 куб.см.)",1996,,,,05.09.2002,"6973,82",,,,обтяження відсутнє,500,,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Терсел( Об""єм двигуна 1300 куб.см.)",1996,,,,01.12.2001,"6899,29",,,,обтяження відсутнє,500,,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1300 куб.см.)",1996,,,,05.09.2002,"7140,69",,,,обтяження відсутнє,500,,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,,,,05.12.2005,"93040,86",,,,обтяження відсутнє,"11114,6",,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,,,,02.12.2005,"124762,27",,,,обтяження відсутнє,"13317,15",,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,"А/м Тойота Ленд Крузер ( Об""єм двигуна 4664 куб.см.)",2005,,,,09.10.2014,"119616,2",,,,обтяження відсутнє,"12958,9",,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
Автомобілі легкові,А/м Тойота Ленд Крузер ( Об'єм двигуна 4664 куб.см.),2005,,,,05.12.2005,91454,,,,обтяження відсутнє,"11003,08",,право власності,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,2017-06-30
