Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Опозиційний блок,Центральний офіс,Україна,37120464,"м. Київ, вул. Волоська, буд. 6/14",,"Київська філія АТ ""м. банк"", МФО 380593, рахунки № 26008001030506, 26007002030506, Відділення ПУМБ ""РЦ в м.Києві"", МФО 334851, рахунок № 260058463, № 26007011076294 в ПАТ ""Укрсоцбанк"", МФО 300023"
Опозиційний блок,Вінницька обласна організація,Вінницька область,37618150,"м. Вінниця, вул.  ПЕРШОТРАВНЕВА, буд. 43","м. Вінниця, вул.  ПЕРШОТРАВНЕВА, буд. 43","ПАТ ПУМБ, МФО 334851, рахунок № 2600815360"
Опозиційний блок,Волинська обласна організація,Волинська область,39707509,"м. Луцьк, МАЙДАН  ПРИВОКЗАЛЬНИЙ, буд. 1, кімната 3","м. Луцьк, МАЙДАН  ПРИВОКЗАЛЬНИЙ, буд. 1, кімната 3",
Опозиційний блок,Дніпропетровська обласна організація,Дніпропетровська область,39750015,"м. Дніпро, просп. КАРЛА МАРКСА, буд. 5","м. Дніпро, просп. КАРЛА МАРКСА, буд. 5","Відділення ПУМБ м. Дніпропетровськ, МФО 334851, рахунок № 2600813320"
Опозиційний блок,Донецька обласна організація,Донецька область,39751914,"Донецька обл., м. Краматорськ, вул. КУЗНЕЦОВА, буд. 11","Донецька обл., м. Краматорськ, вул. КУЗНЕЦОВА, буд. 11","ПАТ КБ ""ПриватБанк"", МФО 335548, рахунок № 26007053610066"
Опозиційний блок,Житомирська обласна організація,Житомирська область,39929086,"м. Житомир, вул.  ПЕРЕМОГИ, буд. 54, кв. 138","м. Житомир, вул.  ПЕРЕМОГИ, буд. 54, кв. 138","Житомирське РУ ПАТКБ ""Приватбанк"", МФО 311744, рахунок № 26008055807991"
Опозиційний блок,Закарпатська обласна організація,Закарпатська область,38222036,"Закарпатська обл., Ужгородський р-н, с. Барвінок, вул. ЕДМУНДА ЕГАНА, буд. 50А","Закарпатська обл., Ужгородський р-н, с. Барвінок, вул. ЕДМУНДА ЕГАНА, буд. 50А","ПАТ Комінвестбан, МФО 312248, рахунок № 26003016000800"
Опозиційний блок,Запорізька обласна організація,Запорізька область,37526809,"м. Запоріжжя, бульв.  ШЕВЧЕНКА, буд. 23","м. Запоріжжя, бульв.  ШЕВЧЕНКА, буд. 23","ПАТ ""ПУМБ"", МФО 334851, рахунок № 2600612837"
Опозиційний блок,Івано-Франківська обласна організація,Івано-Франківська область,39711819,"м. Івано-Франківськ, вул. МАКОГОНА, буд. 31 А, оф. 7","м. Івано-Франківськ, вул. МАКОГОНА, буд. 31 А, оф. 7","ПАТ ""ПУМБ"", МФО 334851, рахунки №№ 26006115305, 2600015304"
Опозиційний блок,Київська обласна організація,Київська область,39756467,"Київська обл., Вишгородський р-н, м. Вишгород, просп. ШЕВЧЕНКА, буд. 6","Київська обл., Вишгородський р-н, м. Вишгород, просп. ШЕВЧЕНКА, буд. 6","Київська філія АТ ""Місто банк"", МФО 380593, рахунок № 26006001030575"
