Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Українське обʼєднання патріотів – УКРОП,Вінницька обласна організація,Вінницька область,39901123,"Вінницька обл., м. Вінниця, вул. Театральна, 14","Вінницька обл., м. Вінниця, вул. Театральна, 14","ПАТ КБ ""Приватбанк"", МФО 302689, р/р 26002055324323"
Українське обʼєднання патріотів – УКРОП,Волинська обласна організація,Волинська область,39946248,"Волинська обл., м. Луцьк, вул. Винниченка, буд. 26, оф. 325","Волинська обл., м. Луцьк, вул. Винниченка, буд. 26, оф. 325","ПАТ КБ ""Приватбанк"", МФО 303440, р/р 26007055507180"
Українське обʼєднання патріотів – УКРОП,Дніпропетровська обласна організація,Дніпропетровська область,39874446,"Дніпропетровська обл., м. Дніпро, вул. Комсомольська, б.58","Дніпропетровська обл., м. Дніпро, вул. Комсомольська, б.58","ПАТ КБ ""Приватбанк"" МФО 305299, р/р 26007050259982 "
Українське обʼєднання патріотів – УКРОП,Донецька обласна організація,Донецька область,39977234,"Донецька обл., м. Костянтинівка, вул. ПУШКІНСЬКА, будинок 339, квартира 17","Донецька обл., м. Костянтинівка, вул. ПУШКІНСЬКА, будинок 339, квартира 17",
Українське обʼєднання патріотів – УКРОП,Житомирська обласна організація,Житомирська область,39925338,"Житомирська обл., м. Житомир, вул. Пушкінська, буд. 25","Житомирська обл., м. Житомир, вул. Пушкінська, буд. 25","ПАТ КБ ""Приватбанк"", МФО 311744, р/р 26000055804505, АТ ""Райффайзен Банк АВАЛЬ"" МФО 380805, р/р 26007556061"
Українське обʼєднання патріотів – УКРОП,Закарпатська обласна організація,Закарпатська область,40031888,"Закарпатська обл., м. Ужгород, вул. Швабська, буд. 66","Закарпатська обл.,м. Ужгород, вул. Швабська, буд. 66","ПАТ КБ ""Приватбанк"", МФО 312378 р/р 26006053910024, АТ ""Райффайзен Банк АВАЛЬ"", МФО 380805, рахунок №26004556785"
Українське обʼєднання патріотів – УКРОП,Запорізька обласна організація,Запорізька область,39923938,"Запорізька обл., м. Запоріжжя, Жовтневий р-н, вул. Троїцька (Чекістів), буд. 27, оф.4","Запозізька обл., м. Запоріжжя, Жовтневий р-н, вул. Троїцька (Чекістів), буд. 27, оф.4","ПАТ КБ ""Приватбанк"", МФО 313399 р/р 26009055720384, АТ ""Райффайзен Банк АВАЛЬ"", МФО 380805 р/р 26003556043"
Українське обʼєднання патріотів – УКРОП,Івано-Франківська обласна організація,Івано-Франківська область,39915162,"Івано-Франківська обл., м. Івано-Франківськ, вул. Грушевського, 13","Івано-Франківська обл., м. Івано-Франківськ, вул. Грушевського, 13","ПАТ КБ ""Приватбанк"", МФО 336677 р/р 26007052513345"
Українське обʼєднання патріотів – УКРОП,Київська обласна організація,Київська область,39949818,"Київська обл., Вишгородський р-н, м. Вишгород, вул. Межигірського Спасу, буд. 48","м. Київ, вул. Протасів Яр, 2-Д","ПАТ КБ ""Приватбанк"", МФО 300711 р/р 26003052766800, АТ ""Райффайзен Банк АВАЛЬ"", код банку 380805, р/р № 26001561148"
Українське обʼєднання патріотів – УКРОП,Київська міська організація,Київ,39976560,"Київська обл., м. Київ, вул. Я. Галана, буд. 2а, кв.20","Київська обл., м. Київ, вул. Я. Галана, буд. 2а, кв.20","ПАТ КБ ""Приватбанк"", МФО 300711 р/р 26001052741968, АТ ""Райффайзен Банк АВАЛЬ"" МФО 380805, р/р 26005559844"
Українське обʼєднання патріотів – УКРОП,Кіровоградська обласна організація,Кіровоградська область,39922803,"Кіровоградська обл., м. Кіровоград, вул. 50 років Жовтня, буд. 1а","Кіровоградська обл., м. Кропивницький, вул. Пашутінська, 31","ПАТ КБ ""Приватбанк"", МФО 323583 р/р 26009052911811, АТ ""Райффайзен Банк АВАЛЬ"", МФО 380805 р/р 26009557488"
Українське обʼєднання патріотів – УКРОП,Луганська обласна організація,Луганська область,39965606,"Луганська обл., Старобільський район, м. Старобільськ, вул. НЕКРАСОВА, будинок 9","Луганська обл., Старобільський район, м. Старобільськ, вул. НЕКРАСОВА, будинок 09","ПАТ КБ ""Приватбанк"", МФО 304795 р/р 26007053718459"
Українське обʼєднання патріотів – УКРОП,Львівська обласна організація,Львівська область,39923503,"Львівська обл., м. Львів, пр-т. Свободи, буд. 24, кв.8","Львівська обл., м. Львів, вул. Січових Стрільців, 5, кв. 4а","ПАТ КБ ""Приватбанк"", МФО 325321 р/р 26001053838223, АТ ""Райффайзен Банк АВАЛЬ"" МФО 380805, р/р 26007555385"
Українське обʼєднання патріотів – УКРОП,Миколаївська обласна організація,Миколаївська область,39953669,"Миколаївська обл., м. Миколаїв, вул. Миколаївська, буд. 19/4, оф.1","Миколаївська обл., м. Миколаїв, вул. Чкалова, 169","ПАТ КБ ""Приватбанк"", МФО 326610 р/р 26001053221497"
Українське обʼєднання патріотів – УКРОП,Одеська обласна організація,Одеська область,39994815,"Одеська обл., м. Одеса, вул. А. Корольова, буд. 104, к. 3, кв.65","Одеська обл., м. Одеса, пров. Жукова Віце-Адмірала, 17/19, оф. 7","ПАТ КБ ""Приватбанк"", МФО 328704 р/р 26004054327711"
Українське обʼєднання патріотів – УКРОП,Полтавська обласна організація,Полтавська область,39947896,"Полтавська обл., м. Полтава, вул. Пушкіна, 115","Полтавська обл., м. Полтава, вул. Пушкіна, 115","ПАТ КБ ""Приватбанк"", МФО 331401 р/р 26003054616293, АТ ""Райффайзенбанк АВАЛЬ"", МФО 380805. р/р 26003555561"
Українське обʼєднання патріотів – УКРОП,Рівненська обласна організація,Рівненська область,39914504,"Рівненська обл., м. Рівне, вул. 16 Липня, буд. 42, кв.22","Рівненська обл., м. Рівне, вул. 16 Липня, буд. 42, кв.22","ПАТ КБ ""Приватбанк"", МФО 333391 р/р 26005054719198 АТ""Райффайзен Банк ""Аваль"" МФО-380805 поточний рахунок -№26002566658 "
Українське обʼєднання патріотів – УКРОП,Сумська обласна організація,Сумська область,39945637,"Сумська обл., м. Суми, вул. Харківська, 5/1","Сумська обл., м. Суми, вул. Харківська, 5/1","ПАТ КБ ""Приватбанк"", МФО 337546 р/р 26000055016685"
Українське обʼєднання патріотів – УКРОП,Центральний офіс,Київ,39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","м. Київ, вул. Володимирська, 12 6-й поверх.","Печерська філія ПАТ КБ ""Приватбанк"" МФО 300711 п/р № 26004052741642"
Українське обʼєднання патріотів – УКРОП,Тернопільська обласна організація,Тернопільська область,39943199,"Тернопільська обл., м. Тернопіль, вул. Листопадова, буд. 9","Тернопільська обл., м. Тернопіль, вул. Листопадова, буд. 9","ПАТ КБ ""Приватбанк"", МФО 338783 р/р 26002055111187"
Українське обʼєднання патріотів – УКРОП,Харківська обласна організація,Харківська область,39973329,"Харківська обл., Харківський р-н, смт Коротич, вул. Піонерська, буд. 44","Харківська обл.,м. Харків, вул. Сумська, 73 оф. 31","ПАТ КБ ""Приватбанк"", МФО 351533 р/р 26001052207545"
Українське обʼєднання патріотів – УКРОП,Херсонська обласна організація,Херсонська область,39904145,"Херсонська обл., м. Херсон, вул. 21-го Січня, буд. 37, кв. 612","Херсонська обл., м. Херсон, вул. 21-го Січня, буд. 37, кв. 612","ПАТ КБ ""Приватбанк"", МФО 352479 р/р 26007052206397"
Українське обʼєднання патріотів – УКРОП,Хмельницька обласна організація,Хмельницька область,39933490,"Хмельницька обл., м. Хмельницьк, вул. Шевченка, буд. 34, оф. 314","м. Хмельницький, вул. Шевченка, буд. 46/2, кв.2","ПАТ КБ ""Приватбанк"", МФО 315405 р/р 26001052423138"
Українське обʼєднання патріотів – УКРОП,Черкаська обласна організація,Черкаська область,39945181,"Черкаська обл., м. Черкаси, вул. ЯБЛУНЕВА, буд. 15","Черкаська обл., м. Черкаси, вул. ЯБЛУНЕВА, буд. 15","ПАТ КБ ""Приватбанк"", МФО 354347 р/р 26005051524627"
Українське обʼєднання патріотів – УКРОП,Чернівецька обласна організація,Чернівецька область,39914462,"Чернівецька обл., м. Чернівці, вул. Шиллера, буд. 5","Чернівецька обл., м. Чернівці, вул. Шиллера, буд. 5","ПАТ КБ ""Приватбанк"", МФО 356282 р/р 26007051500149"
Українське обʼєднання патріотів – УКРОП,Чернігівська обласна організація,Чернігівська область,39941035,"Чернігівська обл., м. Чернігів, вул. Комачкова, 32","Чернігівська обл., м. Чернігів, вул. Гонча, 23 оф. 207","ПАТ КБ ""Приватбанк"", МФО 353586 р/р 26009051414884"
