Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмне забезпечення ""1С:Бухгалтерія 8 для України""","м. Київ, вул. Волоська, буд. 6/14",2017-07-06,4680,обтяження відсутнє,,,,4641,Опозиційний блок,Центральний офіс,37120464,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ""1С:Бухгалтерія 8 для України"" додаткове робоче місце","м. Київ, вул. Волоська, буд. 6/14",2017-08-31,2340,обтяження відсутнє,,,,"2320,5",Опозиційний блок,Центральний офіс,37120464,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",www.opposition.org.ua,,2017-09-01,264,обтяження відсутнє,,,,"240,98",Опозиційний блок,Центральний офіс,37120464,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Бухгалтерія""","м. Рівне, вул. Соборна, буд. 67 оф. 10",2017-08-10,1560,обтяження відсутнє,,,,1560,Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмне забезпечення ""1С:Бухгалтерія 8 для України""","м. Київ, вул. Волоська, буд. 6/14",2017-07-06,4680,обтяження відсутнє,,,,4524,Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ""1С:Бухгалтерія 8 для України"" додаткове робоче місце","м. Київ, вул. Волоська, буд. 6/14",2017-08-31,2340,обтяження відсутнє,,,,2262,Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ""1С:Бухгалтерія 8 для України"" 2 додаткові робочі місця","м. Київ, вул. Волоська, буд. 6/14",2017-12-13,6600,обтяження відсутнє,,,,6600,Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція Microsoft (60 л.),"м. Київ, вул. Волоська, буд. 6/14",2017-11-07,"321546,6",обтяження відсутнє,,,,"321546,6",Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція Microsoft (52 л.),"м. Київ, вул. Волоська, буд. 6/14",2017-12-14,359346,обтяження відсутнє,,,,359346,Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",www.opposition.org.ua,,2017-09-01,264,обтяження відсутнє,,,,"170,38",Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ ""Облік членів партії""","м. Київ, вул. Волоська, буд. 6/14",2017-10-02,145500,обтяження відсутнє,,,4850,140650,Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ ""Облік членів партії""","м. Київ, вул. Волоська, буд. 6/14",2017-10-02,145500,обтяження відсутнє,,,,140650,Опозиційний блок,Центральний офіс,37120464,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство""8 кл.ліц.на 1 р/м","м. Вінниця, вул. Академіка Янгеля, буд. 4Д, оф. 205",2017-10-25,3300,обтяження відсутнє,,,,3025,Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Windows 10 Home 64-bit 1pk DVD,"м. Вінниця, вул. Академіка Янгеля, буд. 4Д, оф. 205",2017-11-30,12484,обтяження відсутнє,,,,"11963,84",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Ofice Home&Business 2016 64-bit 2pk DVD,"м. Вінниця, вул. Академіка Янгеля, буд. 4Д, оф. 205",2017-11-30,22916,обтяження відсутнє,,,,"21961,16",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Дніпро, просп. Карла Маркса, буд. 5",2017-10-23,3300,обтяження відсутнє,,,,3300,Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (8 ліцензій),"м. Дніпро, просп. Карла Маркса, буд. 5",2017-11-24,24968,обтяження відсутнє,,,,24968,Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,4,2017
