Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Основа,Київська міська організація,Київ,33226930,"04070, м.Київ, вулиця БОРИСОГЛІБСЬКА, будинок 6 Б","04070, м.Київ, вулиця БОРИСОГЛІБСЬКА, будинок 6 Б",Р/р 2600024223 ПАТ «ПУМБ» МФО 334851
Основа,Київська обласна організація,Київська область,33226946,"04070, м. Київ, вулиця БОРИСОГЛІБСЬКА, будинок 6, корпус Б","04070, м.Київ, вулиця БОРИСОГЛІБСЬКА, будинок 6, корпус Б",Р/р 2600624232 ПАТ «ПУМБ» МФО 334851
Основа,Літинська районна організація,Вінницька область,33918896,"22300, Вінницька обл., Літинський район, селище міського типу Літин, ВУЛ. САДОВА, будинок 24","22300, Вінницька обл., Літинський район, селище міського типу Літин, ВУЛ. САДОВА, будинок 24",
Основа,Луганська обласна організація,Вінницька область,34019585,"91016, Луганська обл., м. Луганськ, вул. ДЕМЬОХІНА, буд. 31","91016, Луганська обл., м. Луганськ, вул. ДЕМЬОХІНА, буд. 31",
Основа,Харківська міська організація,Харківська область,33481780,"61195, вулиця. Метробудівників, буд. 15, кв. 23 м. ХАРКІВ, УКРАЇНА","61195, вулиця. Метробудівників, буд. 15, кв. 23 м. ХАРКІВ, УКРАЇНА",
Основа,Харківська обласна організація,Харківська область,34017970,"61195, вулиця. Метробудівників, буд. 15, кв. 23 м. ХАРКІВ, УКРАЇНА","61195, вулиця. Метробудівників, буд. 15, кв. 23 м. ХАРКІВ, УКРАЇНА",
Основа,Кримська республіканська організація,Автономна Республіка Крим,33756791,"98612, вул. РОБОЧА, буд. 35, кв. 33, м. ЯЛТА, АРК, УКРАЇНА","98612, вул. РОБОЧА, буд. 35, кв. 33, м. ЯЛТА, АРК, УКРАЇНА",
Основа,Тернопільська обласна організація,Тернопільська область,38893850,"46008, Тернопільська обл., місто Тернопіль, , вулиця Митрополита Шептицького будинок 4Б","46008, Тернопільська обл., місто Тернопіль, вулиця Митрополита Шептицького будинок 4Б",
Основа,Полтавська обласна організація,Полтавська область,33377133,"36021,Полтавська обл., м. Полтава, вул. ІВАНА МАЗЕПИ, буд. 33А, кв. 5","36021,Полтавська обл., м. Полтава, вул. ІВАНА МАЗЕПИ, буд. 33А, кв. 5",
Основа,Херсонська міська організація,Херсонська область,36945299,"73003, Херсонська обл., місто Херсон, вулиця Бєлінського, 15 офіс 23","73003, Херсонська обл., місто Херсон, вулиця Бєлінського, 15 офіс 23",
Основа,Центральний офіс,Україна,33146358,"04070, м.Київ, вулиця БОРИСОГЛІБСЬКА, будинок 6 Б","м. Київ, вул. Фролівська, 1/6,А","Р/р 260020212052 ПАТ АБ «Укргазбанк», м. Київ МФО 32047, Р/р 2600133909 ПАТ «ПУМБ» м.Київ МФО 33485"
