Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Сила людей,Сумська обласна організація,Сумська область,40335165,"Сумська обл., Тростянецький р-н, м. Тростянець, вул. БЛАГОВІЩЕНСЬКА, буд. 58А",,СФ КБ Приватбанк МФО 337546 р/р 26009055020252
Сила людей,Тростянецька районна організація,Сумська область,39713177,"Сумська обл., м. Тростянець, вул.Володимира Великого, буд. 35",,"ПАТ КБ «ПриватБанк», МФО 337546, р/р 26005055017106"
Сила людей,Вараська міська організація,Рівненська область,40220555,"Рівненська обл., м. Вараш, мікрорайон ВАРАШ, буд. 45Б, кв. 59",,"Рівненська філія КБ ""Приватбанк"", МФО 333391, р/р 26004054716233"
Сила людей,Запорізька міська організація,Запорізька область,40031212,"м. Запоріжжя, вул. УКРАЇНСЬКА, буд. 43, кв. 61",,"ПАТ КБ «ПриватБанк», МФО 313399, п/р 2600 0055 7167 39"
Сила людей,Криворізька міська організація,Дніпропетровська область,40009611,"м. Кривий Ріг, вул. Паркова, буд. 5, прим. 9","м. Кривий Ріг, вул. Генерала Радієвського, буд. 34А","ПАТ КБ «ПриватБанк», МФО 305750, 26008053509413"
Сила людей,Київська міська організація,Київ,39989915,"м. Київ, вул. Глибочинцька, буд. 72",,"ПЕЧЕРСЬКА ФІЛІЯ ПАТ КБ ""ПРИВАТБАНК"", МФО 300711, ЄДРПОУ 14360570, поточний рахунок: № 26003052764578, 26054052731516, 26000052604705"
Сила людей,Тернопільська міська організація,Тернопільська область,40053063,"м. Тернопіль, вул. Тролейбусна, буд. 9/159",,"ТФ КБ «Приватбанк» МФО 338783, р/р26004055112913"
Сила людей,Чортківська міська організація,Тернопільська область,39921438,"Тернопілська обл., м. Чортків, вул. Олеся Гончара, буд. 3А",,"ПАТ Укрсоцбанк, МФО 300023, р/р 26000011694532"
Сила людей,Чортківська районна організація,Тернопільська область,39921464,"Тернопілська обл., Чортківський р-н, с. Біл, вул. Пліщука, буд. 27",,"ПАТ Укрсоцбанк, МФО 300023, р/р 26008011703566"
Сила людей,Бориспільська міська організація,Київська область,39993209,"Київська обл., м. Бориспіль, вул. Привокзальна, буд. 5, кв. 42","Київська обл., м. Бориспіль, вул. Ботанічна, буд. 1/6","ПАТ КБ «ПРИВАТБАНК,» МФО 321842, Рахунок 26005053145849"
Сила людей,Печерська районна організація,Київ,40578087,"м. Київ, вул. Кіквідзе, буд. 23, оф. 11",,"ПАТ КБ «Приватбанк», МФО 300711. Поточний рахунок №26005052614165"
Сила людей,Львівська обласна організація,Львівська область,39943818,"м. Львів, вул. КАРМАНСЬКОГО, буд. 6Б, кв. 37",,ЗГРУ ПАТ «Приват банк» Поточний 26000053701317; Картковий 26051053700141
Сила людей,Білоцерківська міська організація,Київська область,39963846,"Київська обл., м. Біла Церква, вул. Гагаріна, буд. 5, оф. 22",,"Ф-я КБ «Приватбанк» Київське РУ, МФО 321842, р/р 26004053136428"
Сила людей,Дніпровська районна організація,Київ,40418843,"м. Київ, вул. Бажова, буд. 3, кв. 53",,"ПАТ КБ ""ПРИВАТБАНК"", МФО 305299, р/р 26001052660542"
Сила людей,Дніпропетровська міська організація,Дніпропетровська область,40749510,"м. Дніпро, вул. Чернишевського, буд. 11, оф. 1",,
Сила людей,Дружківська міська організація,Донецька область,39912346,"Донецька обл., м. Дружківка, вул. Курська, буд. 16",,
Сила людей,Бучанська міська організація,Київська область,40010323,"Київська обл., м. Буча, вул. ЖОВТНЕВА, буд. 17, оф. 7",,
Сила людей,Новокаховська міська організація,Херсонська область,39922929,"Херсонська обл., м. Нова Каховка, вул. ДЗЕРЖИНСЬКОГО, буд. 15, кв. 75",,
Сила людей,Козятинська міська організація,Вінницька область,40158697,"Вінницька обл., м. Козятин, вул. ПІДГОРБУНСЬКОГО, буд. 1, кв. 18",,
Сила людей,Глухівська міська організація,Сумська область,40496853,"Сумська обл., м. Глухів, вул. ГРИШКА, буд. 15",,СФ КБ Приватбанк МФО 337546 р/р26000055022958
Сила людей,Чернівецька обласна організація,Чернівецька область,40000954,"м. Чернівці, вул. РУСЬКА, буд. 263А",,"МФО 328209 Акцюнерний банк""Пiвденний"" 26000020007859З"
Сила людей,Обухівська міська організація,Київська область,40053477,"Київська обл., м. Обухів, вул. ЛУКАВИЦЯ, буд. 362",,
Сила людей,Кіровоградська обласна організація,Кіровоградська область,40022674,"Кіровоградська обл., м. Олександрія, вул. ПРОЛЕТАРСЬКА, буд. 41, кв. 17",,
Сила людей,Тернопільська міська організація,Тернопільська область,40053063,"м. Тернопіль, вул. ТРОЛЕЙБУСНА, буд. 9, кв. 159",,"ТФ КБ «Приватбанк» МФО 338783, р/р26004055112913"
Сила людей,Полтавська міська організація,Полтавська область,39978937,"м. Полтава, вул. КАЛІНІНА, буд. 4, кв. 12",,
Сила людей,Бориспільська районна організація,Київська область,39993172,"Київська обл., м. Бориспіль, вул. ШЕВЧЕНКА, буд. 5, кв. 8",,
Сила людей,Мелітопольська міська організація,Запорізька область,41167943,"Запорізька обл., м. Мелітополь, просп. БОГДАНА ХМЕЛЬНИЦЬКОГО, буд. 29, оф. 3",,
Сила людей,Центральний офіс,Україна,39378656,"м. Київ, вул. Хрещатик, буд. 7/11, оф. 525",,"ПАТ КБ «ПРИВАТБАНК», МФО 320649, No 26009052626812, 26006052628084, 26002052638755, 26000052636845, 26000052634643, 26009052644106, 26000052688042, 26002052633448, 26004052674988, 26005052678596"
