Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201095,"м. Київ, вул. Електриків, буд. 29А",2015-06-25,5835,обтяження відсутнє,,,,"5105,55",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,1,2018
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201096,"м. Київ, вул. Електриків, буд. 29А",2015-06-25,40335,обтяження відсутнє,,,,"35293,05",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Windows 10 Professional (300 штук),"м. Київ, вул. Електриків, буд. 29А",2016-12-21,1167000,обтяження відсутнє,,,,1021125,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Office Home (300 штук),"м. Київ, вул. Електриків, буд. 29А",2016-12-21,1708500,обтяження відсутнє,,,,"1494937,5",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116,"м. Київ, вул. Електриків, буд. 29А",2015-06-25,850,обтяження відсутнє,,,,"743,8",Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення 1С: Підприємство 8. Бухгалтерія 8 для України,"м. Київ, вул. Електриків, буд. 29А",2016-12-16,4680,обтяження відсутнє,,,,4095,Блок Петра Порошенка “Солідарність”,Центральний офіс,21715714,Україна,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""СОЛІДАРНІСТЬ ВІННИЧИНА""",м. Вінниця,2015-09-09,408,обтяження відсутнє,,,,357,Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,39508645,Вінницька область,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Волинь""   ( Свідоцтво серії ВЛ № 492-225Р від 11.08.2015 року )","м. Луцьк, вул. Рівненська, буд. 42",2015-08-11,408,обтяження відсутнє,,,,357,Блок Петра Порошенка “Солідарність”,Волинська обласна організація,39402400,Волинська область,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність.Дніпропетровщина""","м. Дніпро, вул. Січеславська Набережна, буд. 39, прим. 193 ",2015-08-28,408,обтяження відсутнє,,,,357,Блок Петра Порошенка “Солідарність”,Дніпропетровська обласна організація,39795490,Дніпропетровська область,1,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. ДОНЕТЧИНА"" (2017 р.)","Донецька область, м. Краматорськ, просп. Миру, буд. 9",2017-04-03,408,обтяження відсутнє,,,,"370,6",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,39645186,Донецька область,1,2018
