Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
"Всеукраїнське обʼєднання ""Батьківщина""",Вінницька обласна організація,Вінницька область,25511109,"Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А","Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А","ПАТ Укрсоцбанк, МФО 300023, р/р 26000011969944"
"Всеукраїнське обʼєднання ""Батьківщина""",Вінницька міська організація,Вінницька область,25962102,"Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А","Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А",
"Всеукраїнське обʼєднання ""Батьківщина""",Гайсинська міська організація,Вінницька область,36968033,"Вінницька обл., Гайсинський р-н, м. Гайсин, вул. ТІМІРЯЗЄВА, буд. 1., кв.43","Вінницька обл., Гайсинський р-н, м. Гайсин, вул. ТІМІРЯЗЄВА, буд. 1., кв.43",
"Всеукраїнське обʼєднання ""Батьківщина""",Гніванська міська організація,Вінницька область,37058480,"Вінницька обл., м. Гнівань, вул. ЛЕНІНА, буд. 54, кв. 51","Вінницька обл., м. Гнівань, вул. ЛЕНІНА, буд. 54, кв. 51",
"Всеукраїнське обʼєднання ""Батьківщина""",Жмеринська міська організація,Вінницька область,25962289,"Вінницька обл., м. Жмеринка, вул. Герцена, буд. 15","Вінницька обл., м. Жмеринка, вул. Київська, буд. 16",
"Всеукраїнське обʼєднання ""Батьківщина""",Іллінецька міська організація,Вінницька область,36928142,"Вінницька обл., Іллінецький р-н, м. Іллінці, вул. Кривоноса, буд. 29-А, кв.13","Вінницька обл., Іллінецький р-н, м. Іллінці, вул. Кривоноса, буд. 29-А, кв.13",
"Всеукраїнське обʼєднання ""Батьківщина""",Калинівська міська організація,Вінницька область,37258699,"Вінницька обл., Калинівський р-н, м. Калинівка, вул. Незалежності, буд. 2","Вінницька обл., Калинівський р-н, м. Калинівка, вул. Незалежності, буд. 2",
"Всеукраїнське обʼєднання ""Батьківщина""",Козятинська міська організація,Вінницька область,26142105,"Вінницька обл., м. Козятин, вул. П. ОРЛИКА, буд. 12","Вінницька обл., м. Козятин, вул. П. ОРЛИКА, буд. 12",
"Всеукраїнське обʼєднання ""Батьківщина""",Ладижинська міська організація,Вінницька область,26142080,"Вінницька обл., м. Ладижин, вул. Процишина, буд. 2/2","Вінницька обл., м. Ладижин, вул. Процишина, буд. 2/2",
"Всеукраїнське обʼєднання ""Батьківщина""",Липовецька міська організація,Вінницька область,36522866,"Вінницька обл., Липовецький р-н, м. Липовець, вул. Леніна, буд. 55","Вінницька обл., Липовецький р-н, м. Липовець, вул. Леніна, буд. 55",
"Всеукраїнське обʼєднання ""Батьківщина""",Могилів-Подільська міська організація,Вінницька область,34893251,"Вінницька обл., м. Могилів-Подільський, просп. Незалежності, буд. 305, кв.52","Вінницька обл., м. Могилів-Подільський, просп. Незалежності, буд. 305, кв.52",
"Всеукраїнське обʼєднання ""Батьківщина""",Немирівська міська організація,Вінницька область,36788611,"Вінницька обл., Немирівський р-н, м. Немирів, вул. ГОРЬКОГО, буд. 94","Вінницька обл., Немирівський р-н, м. Немирів, вул. ГОРЬКОГО, буд. 94",
"Всеукраїнське обʼєднання ""Батьківщина""",Хмільницька міська організація,Вінницька область,36575258,"Вінницька обл., м. Хмільник, вул. Небесної Сотні, буд. 24","Вінницька обл., м. Хмільник, вул. Небесної Сотні, буд. 24",
"Всеукраїнське обʼєднання ""Батьківщина""",Замостянська районна організація,Вінницька область,25962094,"Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А","Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А",
"Всеукраїнське обʼєднання ""Батьківщина""",Правобережна районна організація,Вінницька область,25962088,"Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А","Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А",
"Всеукраїнське обʼєднання ""Батьківщина""",Староміська районна організація,Вінницька область,25918667,"Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А","Вінницька обл., м. Вінниця, вул. П. Запорожця, буд. 46-А",
"Всеукраїнське обʼєднання ""Батьківщина""",Барська районна організація,Вінницька область,25962071,"Вінницька обл., Барський р-н, м. Бар, площа Памяті, буд. 13","Вінницька обл., Барський р-н, м. Бар, площа Памяті, буд. 13",
"Всеукраїнське обʼєднання ""Батьківщина""",Бершадська районна організація,Вінницька область,26012236,"Вінницька обл., Бершадський р-н, м. Бершадь, вул. Юрія Коваленка, буд. 19","Вінницька обл., Бершадський р-н, м. Бершадь, вул. Юрія Коваленка, буд. 19",
"Всеукраїнське обʼєднання ""Батьківщина""",Вінницька районна організація,Вінницька область,25962119,"Вінницька обл., Вінницький р-н, село Якушинці, вул. АКЦІОНЕРНА, буд. 4","Вінницька обл., Вінницький р-н, село Якушинці, вул. АКЦІОНЕРНА, буд. 4",
"Всеукраїнське обʼєднання ""Батьківщина""",Гайсинська районна організація,Вінницька область,25962256,"Вінницька обл., Гайсинський р-н, м. Гайсин, вул. БОГДАНА ХМЕЛЬНИЦЬКОГО, буд. 16","Вінницька обл., Гайсинський р-н, м. Гайсин, вул. БОГДАНА ХМЕЛЬНИЦЬКОГО, буд. 16",
"Всеукраїнське обʼєднання ""Батьківщина""",Жмеринська районна організація,Вінницька область,25512623,"Вінницька обл., м. Жмеринка, вул. Пушкіна, буд. 3, кв.3","Вінницька обл., м. Жмеринка, вул. Пушкіна, буд. 3, кв.3",
"Всеукраїнське обʼєднання ""Батьківщина""",Іллінецька районна організація,Вінницька область,26142097,"Вінницька обл., Іллінецький р-н, м. Іллінці, вул. Максима Кривоноса, буд. 29А, кв.13","Вінницька обл., Іллінецький р-н, м. Іллінці, вул. Максима Кривоноса, буд. 29А, кв.13",
"Всеукраїнське обʼєднання ""Батьківщина""",Калинівська районна організація,Вінницька область,25512304,"Вінницька обл., Калинівський р-н, м. Калинівка, вул. Незалежності, буд. 2","Вінницька обл., Калинівський р-н, м. Калинівка, вул. Незалежності, буд. 2",
"Всеукраїнське обʼєднання ""Батьківщина""",Козятинська районна організація,Вінницька область,25962243,"Вінницька обл., м. Козятин, вул. П. Орлика, буд. 12","Вінницька обл., м. Козятин, вул. П. Орлика, буд. 12",
"Всеукраїнське обʼєднання ""Батьківщина""",Крижопільська районна організація,Вінницька область,25962148,"Вінницька обл., Крижопільський р-н, смт Крижопіль, вул. ВОЙЦЕХА ДАЖИЦЬКОГО, буд. 17 А","Вінницька обл., Крижопільський р-н, смт Крижопіль, вул. ВОЙЦЕХА ДАЖИЦЬКОГО, буд. 17 А",
"Всеукраїнське обʼєднання ""Батьківщина""",Липовецька районна організація,Вінницька область,25962384,"Вінницька обл., Липовецький р-н, м. Липовець, вул. Липківського, буд. 57","Вінницька обл., Липовецький р-н, м. Липовець, вул. Липківського, буд. 57",
