Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Опозиційна платформа - За життя,Київська обласна організація Опозиційна платформа - За життя,Київська область,34001929,"Київська обл., м. Фастів, вул. Гусєва, буд. 27Б","Київська обл., м. Фастів, вул. Гусєва, буд. 27Б","ПАТ КБ “Приватбанк”, МФО 320649, п/р №26008052718981"
Опозиційна платформа - За життя,Київська міська організація Опозиційна платформа - За життя,Київ,40398712,"м. Київ, вул. Мечникова, буд. 14/1","м. Київ, вул. Мечникова, буд. 14/1",
Опозиційна платформа - За життя,Запорізька обласна організація Опозиційна платформа - За життя,Запорізька область,39400010,"м. Запоріжжя, бульв. Шевченка, буд. 71А, каб. 605","м. Запоріжжя, бульв. Шевченка, буд. 71А, каб. 605","ПАТ ""КРЕДОБАНК"", МФО 325365,  п/р 26004011204599"
Опозиційна платформа - За життя,Сумська обласна організація Опозиційна платформа - За життя,Сумська область,40899474,"м. Суми, пл. Незалежності, буд. 15","м. Суми, пл. Незалежності, буд. 15","ПАТ КБ “Приватбанк”, МФО 337546, рахунок № 26006055026947"
Опозиційна платформа - За життя,Одеська обласна організація Опозиційна платформа - За життя,Одеська область,34055433,"м. Одеса, вул. Жуковського, буд. 43","м. Одеса, вул. Жуковського, буд. 43","ПАТ ""Банк Восток"", МФО 307123, рахунок № 26001010511596"
Опозиційна платформа - За життя,Миколаївська обласна організація Опозиційна платформа - За життя,Миколаївська область,36579383,"м. Миколаїв, просп. Центральний, буд. 67, оф. 424","м. Миколаїв, просп. Центральний, буд. 67, оф. 424","Акціонерне товариство «Комерційний Індустріальний Банк» , код ЄДРПОУ 21580639, МФО 322540, п/р № 26004102023402     "
Опозиційна платформа - За життя,Миколаївська міська організація Опозиційна платформа - За життя,Миколаївська область,37278736,"м. Миколаїв, вул. Нікольська, буд. 25","м. Миколаїв, вул. Нікольська, буд. 25",
Опозиційна платформа - За життя,Харківська обласна організація Опозиційна платформа - За життя,Харківська область,33900035,"м. Харків, вул. Єсеніна, буд. 7, прим. А-5","м. Харків, вул. Єсеніна, буд. 7, прим. А-5","ПАТ КБ “Приватбанк” (код ЄДРПОУ 14360570, МФО 351533): поточний рахунок № 26002052231985; рахунок для соціальних виплат № 26047052204052; картковий рахунок № 26059052213989"
Опозиційна платформа - За життя,Чернігівська обласна організація Опозиційна платформа - За життя,Чернігівська область,40956783,"м. Чернігів, вул. Міхнюка, буд. 41А, корп. 2, кв. 2","м. Чернігів, вул. Міхнюка, буд. 41А, корп. 2, кв. 2",
Опозиційна платформа - За життя,Вінницька обласна організація Опозиційна платформа - За життя,Вінницька область,41278737,"м. Вінниця, вул. Пушкіна, буд. 4, оф. 2","м. Вінниця, вул. Пушкіна, буд. 4, оф. 2","ПАТ КБ “Приватбанк” (ЄДРПОУ14360570, код банку 302689), рахунок № 26008055328839"
Опозиційна платформа - За життя,Луганська обласна організація Опозиційна платформа - За життя,Луганська область,41366346,"Луганська обл., м. Сєвєродонецьк, вул. Вілєсова, буд. 10А","Луганська обл., м. Сєвєродонецьк, вул. Вілєсова, буд. 10А",
Опозиційна платформа - За життя,Закарпатська обласна організація Опозиційна платформа - За життя,Закарпатська область,41433071,"Закарпатська обл., м. Мукачево, вул. Пархоменка, буд. 26","Закарпатська обл., м. Мукачево, вул. Пархоменка, буд. 26",
Опозиційна платформа - За життя,Полтавська обласна організація Опозиційна платформа - За життя,Полтавська область,41406556,"м. Полтава, вул. Соборності, буд. 19, кімн. 340","м. Полтава, вул. Соборності, буд. 19, кімн. 340",
Опозиційна платформа - За життя,Хмельницька обласна організація Опозиційна платформа - За життя,Хмельницька область,41450186,"м. Хмельницький, вул. Проскурівська, буд. 62, оф. 2П","м. Хмельницький, вул. Проскурівська, буд. 62, оф. 2П",
Опозиційна платформа - За життя,Львівська обласна організація Опозиційна платформа - За життя,Львівська область,41468565,"м. Львів, вул. Театральна, буд. 24, кв. 6А","м. Львів, вул. Театральна, буд. 24, кв. 6А",
Опозиційна платформа - За життя,Чернігівська міська організація Опозиційна платформа - За життя,Чернігівська область,41443095,"м. Чернігів, вул. 77 Гвардійської Дивізії, буд. 8","м. Чернігів, вул. 77 Гвардійської Дивізії, буд. 8",
Опозиційна платформа - За життя,Кіровоградська обласна організація Опозиційна платформа - За життя,Кіровоградська область,41478573,"м. Кропивницький, вул. Тараса Карпи, буд. 82, оф. 5","м. Кропивницький, вул. Тараса Карпи, буд. 82, оф. 5",
Опозиційна платформа - За життя,Дніпропетровська обласна організація Опозиційна платформа - За життя,Дніпропетровська область,41549539,"м. Дніпро, вул. Січеславська Набережена, буд. 33","м. Дніпро, вул. Січеславська Набережена, буд. 33","ПАТ ""Перший Український Міжнародний Банк""  код 14282829, МФО 334851 (відділення в м.Дніпро), р/р №2600948745"
Опозиційна платформа - За життя,Чернівецька обласна організація Опозиційна платформа - За життя,Чернівецька область,41656616,"м. Чернівці, вул. Героїв Майдану, буд. 66, кв. 1","м. Чернівці, вул. Героїв Майдану, буд. 66, кв. 1",
Опозиційна платформа - За життя,Донецька обласна організація Опозиційна платформа - За життя,Донецька область,41767043,"Донецька обл., м Краматорська, вул. П.Гайдамаки, буд. 28","Донецька обл., м Краматорська, вул. П.Гайдамаки, буд. 28",
Опозиційна платформа - За життя,Рівненська обласна організація Опозиційна платформа - За життя,Рівненська область,41772891,"м. Рівне, вул. Чорновола, буд. 91Е, кв. 56","м. Рівне, вул. Чорновола, буд. 91Е, кв. 56",
Опозиційна платформа - За життя,Черкаська обласна організація Опозиційна платформа - За життя,Черкаська область,41850466,"м. Черкаси, вул. Остафія Дашкевича, буд. 20","м. Черкаси, вул. Остафія Дашкевича, буд. 20",
Опозиційна платформа - За життя,Івано-Франківська обласна організація Опозиційна платформа - За життя,Івано-Франківська область,41978263,"м. Івано-Франківськ, вул. Довженка, буд. 26","м. Івано-Франківськ, вул. Довженка, буд. 26","ПАТ КБ «ПриватБанк», ідентифікаційний код 14360570, Поточний рахунок 26009052547836"
Опозиційна платформа - За життя,Харківська міська організація Опозиційна платформа - За життя,Харківська область,42096989,"м. Харків, вул. Динамівська, буд. 3А","м. Харків, вул. Динамівська, буд. 3А",
Опозиційна платформа - За життя,Криворізька міська організація Опозиційна платформа - За життя,Дніпропетровська область,42121077,"Дніпропетровська обл., м. Кривий Ріг, просп. Металургів, буд. 33, прим. 29, 33","Дніпропетровська обл., м. Кривий Ріг, просп. Металургів, буд. 33, прим. 29, 33","ПАТ КБ «ПриватБанк», ідентифікаційний код 14360570, МФО 350750, п/р 26000053519207"
Опозиційна платформа - За життя,Херсонська обласна організація Опозиційна платформа - За життя,Херсонська область,42162684,"м. Херсон, вул. Пилипа Орлика, буд. 15, кімн. 203/2","м. Херсон, вул. Пилипа Орлика, буд. 15, кімн. 203/2","Акціонерне товариство «Комерційний Індустріальний Банк», Код ЄДРПОУ: 21580639, МФО 322540, п/р № 26001102023030  "
Опозиційна платформа - За життя,Тернопільська обласна організація Опозиційна платформа - За життя,Тернопільська область,42267883,"м. Тернопіль, вул. Гетьмана Мазепи, буд. 10, оф. 410","м. Тернопіль, вул. Гетьмана Мазепи, буд. 10, оф. 410",ПАТ КБ «Приватбанк» МФО 338783 п/р 26001055124272
Опозиційна платформа - За життя,Житомирська обласна організація Опозиційна платформа - За життя,Житомирська область,42417904,"м. Житомир, майдан Смолянський, буд. 3","м. Житомир, майдан Смолянський, буд. 3","АБ “УКРГАЗБАНК”_ МФО 320478, п/р № 26008924855733"
Опозиційна платформа - За життя,Волинська обласна організація Опозиційна платформа - За життя,Волинська область,42498868,"м. Луцьк, вул. Винниченка, буд. 14А, оф. 11","м. Луцьк, вул. Винниченка, буд. 14А, оф. 11",
Опозиційна платформа - За життя,Одеська міська організація Опозиційна платформа - За життя,Одеська область,42573672,"м. Одеса, вул. Рішельєвська, буд. 53","м. Одеса, вул. Рішельєвська, буд. 53","АТ «Комерційний Індустріальний Банк», ЄДРПОУ 21580639,МФО 322540, 26008101024806"
Опозиційна платформа - За життя,Центральний офіс,Україна,21709375,"м. Київ, вул. Москворецька, буд. 13","м. Київ, вул. Мечникова, буд. 14/1, каб. 316",1). Акціонерне товариство «Правекс-Банк» (380838)  - поточний рахунок  партии  № 26003700467179; 2). Акціонерний Банк «Кліринговий дім»  (300647)  - накопичувальний рахунок ВФ № 26413011207800 3). Акціонерний Банк «Кліринговий дім» (300647) - поточний рахунок ВФ №26414021207800
