"Партія","Місцева організація","Географічний обʼєкт","Ідентифікаційний код юридичної особи за ЄДРПОУ","Місцезнаходження","Фактичне місцезнаходження","Реквізити банків, у яких відкрито рахунки"
"Українське обʼєднання патріотів – УКРОП","Вінницька обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Вінницька область","39901123","Вінницька обл., Вінницький р-н, смт Стрижавка, вул. І. Франка, буд. 6","м. Вінниця, вул. Скалецького, буд. 4","ПАТ КБ ""Приватбанк"", МФО 302689, р/р 26002055324323"
"Українське обʼєднання патріотів – УКРОП","Волинська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Волинська область","39946248","Волинська обл., м. Луцьк, вул. Електроапаратна, буд. 3, оф. 432","Волинська обл., м. Луцьк, вул. Електроапаратна, буд. 3, оф. 432","ПАТ КБ ""Приватбанк"", МФО 303440, р/р 26007055507180"
"Українське обʼєднання патріотів – УКРОП","Дніпропетровська обласна регіональна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Дніпропетровська область","39874446","Дніпропетровська обл., м. Дніпро, вул. Старокозацька, буд. 58","Дніпропетровська обл., м. Дніпро, вул. Старокозацька, буд. 58","ПАТ КБ ""Приватбанк"" МФО 305299, р/р 26007050259982"
"Українське обʼєднання патріотів – УКРОП","Донецька обласна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Донецька область","39977234","Донецька обл., м. Костянтинівка, вул. ПУШКІНСЬКА, буд. 339, кв. 17","Донецька обл., м. Краматрськ, вул. Академічна, буд. 36, оф. 67Н","ПАТ КБ ""Приватбанк"" МФО 335548 р/р 26008053610043"
"Українське обʼєднання патріотів – УКРОП","Житомирська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Житомирська область","39925338","Житомирська обл., м. Житомир, вул. Пушкінська, буд. 25","Житомирська обл., м. Житомир, вул. Пушкінська, буд. 25","ПАТ КБ ""Приватбанк"", МФО 311744, р/р 26000055804505"
"Українське обʼєднання патріотів – УКРОП","Закарпатська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Закарпатська область","40031888","Закарпатська обл., м. Ужгород, вул. Швабська, буд. 66","Закарпатська обл., м. Ужгород, вул. Швабська, буд. 66","ПАТ КБ ""Приватбанк"", МФО 312378 р/р 26006053910024"
"Українське обʼєднання патріотів – УКРОП","Запозізька обласна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Запорізька область","39923938","Запозізька обл., м. Запоріжжя, Жовтневий р-н, вул. Троїцька (Чекістів), буд. 27, оф. 4","Запозізька обл., м. Запоріжжя, Жовтневий р-н, вул. Троїцька (Чекістів), буд. 27, оф. 4","ПАТ КБ ""Приватбанк"", МФО 313399 р/р 26009055720384"
"Українське обʼєднання патріотів – УКРОП","Івано-Франківська обласнапарторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Івано-Франківська область","39915162","Івано-Франківська обл., м. Івано-Франківськ, вул. Грушевського, буд. 13","Івано-Франківська обл., м. Івано-Франківськ, вул. Грушевського, буд. 13","ПАТ КБ ""Приватбанк"", МФО 336677 р/р 26007052513345"
"Українське обʼєднання патріотів – УКРОП","Київська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Київська область","39949818","Київська обл., Вишгородський р-н, м. Вишгород, вул. Межигірського Спасу, буд. 48","м. Київ, вул. Протасів Яр, буд. 2Д","ПАТ КБ ""Приватбанк"", МФО 300711 р/р 26003052766800,"
"Українське обʼєднання патріотів – УКРОП","Київська міська організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Київ","39976560","Київська обл., м. Київ, вул. Я. Галана, буд. 2А, кв. 20","Київська обл., м. Київ, вул. Я. Галана, буд. 2А, кв. 20","ПАТ КБ ""Приватбанк"", МФО 300711 р/р 26001052741968"
