Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Блок Вілкула Українська Перспектива                ,Вінницька обласна організація,Вінницька область,39617473,"Вінницька обл., Літинський р-н, с. Літинськи Хутори, вул. Хмельницьке шосе, буд. 1, кв. 3","Вінницька обл., Літинський р-н, с. Літинськи Хутори, вул. Хмельницьке шосе, буд. 1, кв. 3",-
Блок Вілкула Українська Перспектива                ,Дніпропетровська міська організація ,Дніпропетровська область,39895309,"м. Дніпро, вул. Святослава Хороброго (Чкалова), буд. 11","м. Дніпро, вул. Святослава Хороброго (Чкалова), буд. 11",-
Блок Вілкула Українська Перспектива                ,Дніпропетровська обласна організація,Дніпропетровська область,39585410,"м. Дніпро, вул. Святослава Хороброго (Чкалова), буд. 11","м. Дніпро, вул. Святослава Хороброго (Чкалова), буд. 11",UA553065000000026006300008614; п/р UA763071230000026004010837318; п/р UA923052990000026006050030362
Блок Вілкула Українська Перспектива                ,Житомирська обласна організація,Житомирська область,39602729,"Житомирська обл., Хорошівський р-н, смт Іршанськ, вул. Бельського, буд. 10","Житомирська обл., Хорошівський р-н, смт Іршанськ, вул. Бельського, буд. 10",-
Блок Вілкула Українська Перспектива                ,Запорізька обласна організація,Запорізька область,39648999,"Запорізька обл., Василівський р-н, смт Степногірськ, вул. Молодіжна, б. 1, кв. 88","Запорізька обл., Василівський р-н, смт Степногірськ, вул. Молодіжна, б. 1, кв. 88",-
Блок Вілкула Українська Перспектива                ,Київська міська організація,Київська область,39606346,"м. Київ, вул. Глушкова, буд. 16, кв. 70","м. Київ, вул. Дегтярівська, буд. 53, кв. 2",-
Блок Вілкула Українська Перспектива                ,Київська обласна організація,Київська область,39632561,"Київська обл., Києво-Святошинський р-н, м. Боярка, вул. Коцюбинського, буд. 49","Київська обл., Києво-Святошинський р-н, м. Боярка, вул. Коцюбинського, буд. 49",-
Блок Вілкула Українська Перспектива                ,Кіровоградська обласна організація,Кіровоградська область,39611178,"Кіровоградська обл., Петрівський р-н, смт Петрове, вул. Літвінова, буд. 3, кв. 62","Кіровоградська обл., Петрівський р-н, смт Петрове, вул. Літвінова, буд. 3, кв. 62",-
Блок Вілкула Українська Перспектива                ,Львівська обласна організація,Львівська область,39632596,"Львівська обл., Жидачівський р-н, м. Жидачів, вул. Івана Франка, буд. 25, кв. 1","Львівська обл., Жидачівський р-н, м. Жидачів, вул. Івана Франка, буд. 25, кв. 1",-
Блок Вілкула Українська Перспектива                ,Миколаївська обласна організація,Миколаївська область,39648894,"м. Миколаїв, вул. Шевченко, буд. 3А, кв. 12","м. Миколаїв, вул. Шевченко, буд. 3А, кв. 12",-
Блок Вілкула Українська Перспектива                ,Одеська обласна організація,Одеська область,39680262,"Одеська обл., Болградський р-н, м. Болград, вул. А. Хрістєва, буд. 64","Одеська обл., Болградський р-н, м. Болград, вул. А. Хрістєва, буд. 64",-
Блок Вілкула Українська Перспектива                ,Тернопільська обласна організація,Тернопільська область,39614582,"Тернопільська обл., Монастирський р-н, село Красіїв, вул. Зелена, буд. 44","Тернопільська обл., Монастирський р-н, село Красіїв, вул. Зелена, буд. 44",-
Блок Вілкула Українська Перспектива                ,Харківська районна організація,Харківська область,40009213,"м. Харків, вул. Наріманова, буд. 1А","м. Харків, вул. Наріманова, буд. 1А",-
Блок Вілкула Українська Перспектива                ,Харківська міська організація,Харківська область,39971981,"м. Харків, вул. Новгородська, б. 22, кв. 22","м. Харків, вул. Новгородська, б. 22, кв. 22",-
Блок Вілкула Українська Перспектива                ,Харківська обласна організація,Харківська область,39665270,"м. Харків, вул. Героїв Праці, б. 50, кв. 41","м. Харків, вул. Героїв Праці, б. 50, кв. 41",-
Блок Вілкула Українська Перспектива                ,Черкаська обласна організація,Черкаська область,39636653,"м. Черкаси, вул. Смілянська, буд. 119, кв. 118","м. Черкаси, вул. Смілянська, буд. 119, кв. 118",-
Блок Вілкула Українська Перспектива                ,Чернігівська обласна організація,Чернігівська область,39609614,"м. Чернігів, вул. Нафтовиків, буд. 1, кв. 37","м. Чернігів, вул. Нафтовиків, буд. 1, кв. 37",-
Блок Вілкула Українська Перспектива                ,Зміївська районна організація,Харківська область,39986799,"Харківська обл., Зміївський р-н, м. Зміїв, Тупик Донецький, буд. 5","Харківська обл., Зміївський р-н, м. Зміїв, Тупик Донецький, буд. 5",-
Блок Вілкула Українська Перспектива                ,Хмельницька обласна організація,Хмельницька область,39626383,"м. Хмельницький, вул. Маршала Рибалко, буд. 22, кв. 64
","м. Хмельницький, вул. Маршала Рибалко, буд. 22, кв. 64
",-
