Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Громадська сила,Дніпропетровська обласна організація ,Дніпропетровська область,25724905,"Дніпропетровська обл., м. Дніпро, вул. Барикадна, буд. 15А 
","Дніпропетровська обл., м. Дніпро, вул. Барикадна, буд. 15А 
","ПАТ «АБ «РАДАБАНК» 
Місцезнаходження: 
49000, м.Дніпро, просп.Олександра Поля, 46
Ідентифікаційний код: 21322127
МФО: 306500
Рахунок: 
№ 1: 26006300001570"
Громадська сила,Дніпровська міська організація ,Дніпропетровська область,36052425,"Дніпропетровська обл., м. Дніпро, вул. Барикадна, буд. 15А
","Дніпропетровська обл., м. Дніпро, вул. Барикадна, буд. 15А
","ПАТ «АБ «РАДАБАНК» 
Місцезнаходження: 
49000, м.Дніпро, просп.Олександра Поля, 46
Ідентифікаційний код: 21322127
МФО: 306500
Рахунок: 
№ 1: 26007300001568"
Громадська сила,Закарпатська обласна організація ,Закарпатська область,25442822,"Закарпатська обл., м. Ужгород, вул. Мукачівська, буд. 30, кв. 2
","Закарпатська обл., м. Ужгород, вул. Мукачівська, буд. 30, кв. 2
",
Громадська сила,Черкаська обласна організація ,Черкаська область,25674490,"Черкаська обл., м. Черкаси, бульв. Шевченка, буд. 218-220
","Черкаська обл., м. Черкаси, бульв. Шевченка, буд. 218-220
",
Громадська сила,Полтавська обласна організація ,Полтавська область,25718402,"Полтавська обл., м. Полтава, вул. Фрунзе, буд. 24/42
","Полтавська обл., м. Полтава, вул. Фрунзе, буд. 24/42
",
Громадська сила,Чернігівська обласна організація ,Чернігівська область,24834885,"Чернігівська обл., м. Чернігів, вул. Єськова, буд. 6, корп. 2, кв. 21
","Чернігівська обл., м. Чернігів, вул. Єськова, буд. 6, корп. 2, кв. 21
",
Громадська сила,Тернопільська обласна організація ,Тернопільська область,25700782,"Тернопільська обл., м. Тернопіль, вул. Гетьмана Сагайдачного, буд. 4
","Тернопільська обл., м. Тернопіль, вул. Гетьмана Сагайдачного, буд. 4
",
Громадська сила,Одеська обласна організація ,Одеська область,23868244,"Одеська обл., м. Одеса, Проспект Добровольского, буд. 84, кв. 80","Одеська обл., м. Одеса, Проспект Добровольского, буд. 84, кв. 80",
Громадська сила,Житомирська обласна організація,Житомирська область,25712776,"Житомирська обл., м. Житомир, пров. Парковий, буд. 7, кв. 13
","Житомирська обл., м. Житомир, пров. Парковий, буд. 7, кв. 13
",
Громадська сила,Сумська обласна організація ,Сумська область,24009052,"Сумська обл., м. Суми, вул. Кірова 165, буд. 140, кв. 47
","Сумська обл., м. Суми, вул. Кірова 165, буд. 140, кв. 47
",
Громадська сила,Чернівецька обласна організація ,Чернівецька область,22848825,"Чернівецька обл., м. Чернівці, вул. Руська, буд. 219Г, кв. 49
","Чернівецька обл., м. Чернівці, вул. Руська, буд. 219Г, кв. 49
",
Громадська сила,Вінницька обласна організація ,Вінницька область,25507332,"Вінницька обл., м. Вінниця, пров. Карла Маркса, буд. 54А, кв. 5-а
","Вінницька обл., м. Вінниця, пров. Карла Маркса, буд. 54А, кв. 5-а
",
Громадська сила,Івано-Франківська обласна організація ,Івано-Франківська область,25734814,"Івано-Франківська обл., м. Івано-Франківськ, вул. Хриплинська, буд. 29
","Івано-Франківська обл., м. Івано-Франківськ, вул. Хриплинська, буд. 29
",
Громадська сила,Кіровоградська обласна організація ,Кіровоградська область,23903489,"Кіровоградська обл., м. Кіровоград, вул. Вʼячеслава Чорновола, буд. 21, кв. 9
","Кіровоградська обл., м. Кіровоград, вул. Вʼячеслава Чорновола, буд. 21, кв. 9
",
Громадська сила,Херсонська обласна організація ,Херсонська область,39979195,"Херсонська обл., м. Херсон, просп. Сенявіна, буд. 152, корп. 2, кв. 41
","Херсонська обл., м. Херсон, просп. Сенявіна, буд. 152, корп. 2, кв. 41
",
Громадська сила,Нікопольська міська організація  ,Нікопольська область,40044090,"Дніпропетровська обл., м. Нікополь, вул. Менжинського, буд. 3
","Дніпропетровська обл., м. Нікополь, вул. Менжинського, буд. 3
",
Громадська сила,Хмельницька обласна організація ,Хмельницбка область,22766895,"Хмельницька обл., м. Хмельницький, Вулиця Проскурівська, буд. 4
","Хмельницька обл., м. Хмельницький, Вулиця Проскурівська, буд. 4
",
Громадська сила,Харківська міська організація ,Харківська область,25751724,"Харківська обл., м. Харків, вул. Тимурівців, буд. 37, каб. 201
","Харківська обл., м. Харків, вул. Тимурівців, буд. 37, каб. 201
",
Громадська сила,Львівська обласна організація ,Львівська область,19335499,"Львівська обл., м. Львів, вул. Коперницька, буд. 29А
","Львівська обл., м. Львів, вул. Коперницька, буд. 29А
",
Громадська сила,Миколаївська обласна організація ,Миколаївська область,33968821,"Миколаївська обл., м. Миколаїв, вул. Потьомкінська, буд. 48
","Миколаївська обл., м. Миколаїв, вул. Потьомкінська, буд. 48
",
Громадська сила,Харківська обласна організація ,Харківська область,06717621,"Харківська обл., Дергачівський р-н, м. Дергачі, пров. Заводський, буд.
","Харківська обл., Дергачівський р-н, м. Дергачі, пров. Заводський, буд. 
",
