"Партія","Місцева організація","Географічний обʼєкт","Ідентифікаційний код юридичної особи за ЄДРПОУ","Місцезнаходження","Фактичне місцезнаходження","Реквізити банків, у яких відкрито рахунки"
"Слуга народу","Івано-Франківська Обласна організація","Івано-Франківська область",43669941,"м. Івано-Франківськ, вул. Галицька, 41, оф. 5","м. Івано-Франківськ, вул. Галицька, 41, оф. 5",
"Слуга народу","Вінницька Обласна організація","Вінницька область",43655957,"м. Вінниця, вул. Магістратська, 156-А","м. Вінниця, вул. Магістратська, 156-А",
"Слуга народу","Хмельницька Обласна організація","Хмельницька область",43675248,"м. Хмельницький, вул. Проскурівського підпілля, 63","м. Хмельницький, вул. Проскурівського підпілля, 63",
"Слуга народу","Чернівецька Обласна організація","Чернівецька область",43671311,"м. Чернівці, вул.Руська, 1-А, оф. 301","м.Чернівці, вул. Руська, 1-А, оф. 301",
"Слуга народу","Чернігівська Обласна організація","Чернігівська область",43663117,"Чернігівська обл., м. Прилуки, вул. Київська, 140","Чернігівська обл., м. Прилуки, вул. Київська, 140",
"Слуга народу","Харківська Обласна організація","Харківська область",43660231,"м. Харків, вул. Суздальські Ряди, 12","м. Харків, вул. Суздальські Ряди, 12","АТ «Державний експортно-імпортний банк України» (АТ «Укрексімбанк»), МФО 322313, р/р 26007000044602"
"Слуга народу","Сумська Обласна організація","Сумська область",43678249,"м. Суми, вул. Гагаріна, 9, оф. 241/242","м. Суми, вул. Гагаріна, 9, офіс 241/242",
"Слуга народу","Житомирська Обласна організація","Житомирська область",43671044,"м. Житомир, вул. Велика Бердичівська, 18","м. Житомир, вул. Велика Бердичівська, 18",
"Слуга народу","Рівненська Обласна організація","Рівненська область",43655001,"м. Рівне, вул. 16 липня, 42","м. Рівне, вул. 16 липня, 42",
"Слуга народу","Одеська Обласна організація","Одеська область",43676765,"м. Одеса, вул. Велика Арнаутська, 55","м. Одеса, вул. Велика Арнаутська, 55",
"Слуга народу","Донецька Обласна організація","Донецька область",43682056,"Донецька обл., м. Слов'янськ, бульв. Пушкіна, 10","Донецька обл., м. Слов'янськ, бульв. Пушкіна, 10",
"Слуга народу","Миколаївська Обласна організація","Миколаївська область",43681204,"м. Миколаїв, вул. Адміральська, 31Б/1","м. Миколаїв, вул. Адміральська, 31Б/1",
