Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Сайт Української Г алицької Партії,,2016-03-14,30000,обтяження відсутнє,,,,27500,Українська Галицька Партія,Центральний офіс,39481037,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма ""M.E.Doc""",,2016-03-11,372,обтяження відсутнє,,,,93,Українська Галицька Партія,Центральний офіс,39481037,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","КП ""Програмний комплекс ""FREEDOM""",,2016-05-16,180,обтяження відсутнє,,,,75,Українська Галицька Партія,Центральний офіс,39481037,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Сертифікат відкритого ключа ЄЦП для юр.ос.на 1 рік,,2016-05-16,12,обтяження відсутнє,,,,5,Українська Галицька Партія,Центральний офіс,39481037,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Сайт Української Галицької Партії,,2016-03-14,30000,обтяження відсутнє,,,,12500,Українська Галицька Партія,Центральний офіс,39481037,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","ЕЦП терміном на 2 роки (КП ""Програмний комплекс ""FREEDOM"" та Сертифікат відкритого ключа ЄЦП для юр.ос.на 2 роки)",,2017-05-16,349,обтяження відсутнє,,,,244,Українська Галицька Партія,Центральний офіс,39481037,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Комп'ютерна програма ""M.E.Doc""  Модуль ""M.E.Doc Звітність"" з правом використання на  рік",,2017-04-03,900,обтяження відсутнє,,,,300,Українська Галицька Партія,Центральний офіс,39481037,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Сайт Української Галицької Партії,,2016-03-14,30000,обтяження відсутнє,,,,8750,Українська Галицька Партія,Центральний офіс,39481037,Україна,1,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","ЕЦП терміном на 2 роки (КП ""Програмний комплекс ""FREEDOM"" та Сертифікат відкритого ключа ЄЦП для юр.ос.на 2 роки)",,2017-05-16,349,обтяження відсутнє,,,,199,Українська Галицька Партія,Центральний офіс,39481037,Україна,1,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Ліцензія на право використання КП""Арт-Звіт Лайт"" протягом 1 року ",,2018-01-15,750,обтяження відсутнє,,,,625,Українська Галицька Партія,Центральний офіс,39481037,Україна,1,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Комп'ютерна програма ""M.E.Doc""  Модуль ""M.E.Doc Звітність"" з правом використання на  рік",,2017-04-03,900,обтяження відсутнє,,,,75,Українська Галицька Партія,Центральний офіс,39481037,Україна,1,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",ЕЦП,,2018-03-16,356,обтяження відсутнє,,,,356,Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,1,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Ліцензія на право використання КП""Арт-Звіт Лайт"" протягом 1 року ",,2018-03-16,750,обтяження відсутнє,,,,750,Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,1,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Сайт Української Галицької Партії,,2016-03-14,30000,обтяження відсутнє,,,,5000,Українська Галицька Партія,Центральний офіс,39481037,Україна,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","ЕЦП терміном на 2 роки (КП ""Програмний комплекс ""FREEDOM"" та Сертифікат відкритого ключа ЄЦП для юр.ос.на 2 роки)",,2017-05-16,349,обтяження відсутнє,,,,154,Українська Галицька Партія,Центральний офіс,39481037,Україна,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Ліцензія на право використання КП""Арт-Звіт Лайт"" протягом 1 року ",,2018-01-15,750,обтяження відсутнє,,,,"437,5",Українська Галицька Партія,Центральний офіс,39481037,Україна,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Комп'ютерна програма ""M.E.Doc""  Модуль ""M.E.Doc Звітність"" з правом використання на  рік",,2017-04-03,900,обтяження відсутнє,2018-04-03,,,0,Українська Галицька Партія,Центральний офіс,39481037,Україна,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",ЕЦП,,2018-03-16,356,обтяження відсутнє,,,,"266,99",Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Ліцензія на право використання КП""Арт-Звіт Лайт"" протягом 1 року ",,2018-03-16,750,обтяження відсутнє,,,,"562,5",Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Сайт Української Галицької Партії,,2016-10-25,40800,обтяження відсутнє,,,,13300,Українська Галицька Партія,Центральний офіс,39481037,Україна,3,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","ЕЦП терміном на 2 роки (КП ""Програмний комплекс ""FREEDOM"" та Сертифікат відкритого ключа ЄЦП для юр.ос.на 2 роки)",,2017-05-16,349,обтяження відсутнє,,,,109,Українська Галицька Партія,Центральний офіс,39481037,Україна,3,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Ліцензія на право використання КП""Арт-Звіт Лайт"" протягом 1 року ",,2018-01-15,750,обтяження відсутнє,,,,250,Українська Галицька Партія,Центральний офіс,39481037,Україна,3,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",ЕЦП,,2018-03-16,356,обтяження відсутнє,,,,"177,98",Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,3,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Ліцензія на право використання КП""Арт-Звіт Лайт"" протягом 1 року ",,2018-03-16,750,обтяження відсутнє,,,,375,Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,3,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Сайт Української Галицької Партії,,2016-10-25,90000,обтяження відсутнє,,,,"58455,88",Українська Галицька Партія,Центральний офіс,39481037,Україна,4,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","ЕЦП терміном на 2 роки (КП ""Програмний комплекс ""FREEDOM"" та Сертифікат відкритого ключа ЄЦП для юр.ос.на 2 роки)",,2017-05-16,441,обтяження відсутнє,,,,137,Українська Галицька Партія,Центральний офіс,39481037,Україна,4,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Ліцензія на право використання КП""Арт-Звіт Лайт"" протягом 1 року ",,2018-01-15,750,обтяження відсутнє,,,,"62,5",Українська Галицька Партія,Центральний офіс,39481037,Україна,4,2018
