Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"м. Полтава, вул. Соборності, буд. 66, кім. 317",1.0,,01.08.2020,0.0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Полтава, вул. Соборності (Жовтнева), буд. 66, к. 317",5.95,,01.09.2020,0.0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Полтава, вул. Соборності (Жовтнева), буд. 66, к. 317",1.0,,01.03.2021,0.0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Запоріжжя, просп. Соборний, б. 152В",69.6,,01.01.2021,515040.0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Київ Солом""янська пл. 2",2.0,,01.01.2021,216.67,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Полтава, вул. Соборності (Жовтнева), буд. 66, к. 317",1.0,,01.03.2021,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-12-31,4,2021
Офіс,"м. Полтава, вул. Соборності, буд. 66, кім. 317",1.0,,01.08.2020,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-12-31,4,2021
Офіс,"м. Полтава, вул. Соборності, буд. 66, кім. 317",1.0,,01.08.2021,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-12-31,4,2021
Офіс,"м. Запоріжжя, просп. Соборний, б. 152В",69.6,,01.01.2021,515040,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-12-31,4,2021
Офіс,"м. Полтава, вул. Соборності (Жовтнева), буд. 66, к. 317",5.95,,01.09.2020,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Полтава, вул. Соборності (Жовтнева), буд. 66, к. 317",1.0,,01.03.2021,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Полтава, вул. Соборності, буд. 66, кім. 317",1.0,,01.08.2020,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Полтава, вул. Соборності, буд. 66, кім. 317",1.0,,01.08.2021,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Запоріжжя, просп. Соборний, б. 152В",69.6,,01.01.2021,515040,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Полтава, вул. Соборності (Жовтнева), буд. 66, к. 317",5.95,,01.09.2020,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-06-30,2,2021
Офіс,"м. Полтава, вул. Соборності (Жовтнева), буд. 66, к. 317",1.0,,01.03.2021,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-06-30,2,2021
Офіс,"м. Полтава, вул. Соборності, буд. 66, кім. 317",1.0,,01.08.2020,0,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-06-30,2,2021
Офіс,"м. Запоріжжя, просп. Соборний, б. 152В",69.6,,01.01.2021,515040,Оренда,,,Юридична особа,АГРАРНА ПАРТІЯ УКРАЇНИ,2021-06-30,2,2021
