Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
офісне приміщення,"вул. Німецька, буд. 7 м. Кривий Ріг Дніпропетровська обл.",50.0,,01.05.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Івано-Франківська обл., Богородчанський р-н, смт Богородчани, вул. Петраша, буд. 6А каб. 1",3.0,,02.11.2020,0,договір позички,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Івано-Франківська обл., м. Рогатин, вул. Галицька, буд. 119",48.8,,01.06.2015,121540,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Івано-Франківська обл., м. Яремча, с. Микуличин, вул. Шкільна, буд. 27 корпус Б",2.0,,01.12.2019,,договір позички,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Івано-Франківська обл., Рожнятівський р-н, СМТ. Рожнятів, вул. Пушкіна, буд. 2",11.0,,01.04.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Івано-Франківська обл., Тисменицький р-н, м. Тисмениця, площа Ринок, буд. 1, кв. 25",1.0,,01.04.2020,,договір позички,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Івано-Франківська обл., м. Тлумач, вул. Кармелюка, буд. 1",18.0,,01.12.2019,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Івано-Франківська обл., м. Бурштин, вул. Калуська, буд. 5",10.0,,01.10.2019,,договір позички,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Івано-Франківська обл., м. Городенка, вул. Володимира Великого, буд. 9",3.0,,01.12.2020,,договір позички,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Івано-Франківська обл., м. Галич, вул. Майдан Різдва, буд. 21 А",3.0,,02.01.2020,,договір позички,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Івано-Франківська обл., м. Снятин, вул. Шевченка, буд. 111",46.2,,01.06.2020,110882,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"м. Болехів, вул. Січових Стрільців, буд. 4А",9.6,,06.12.2019,,Оренда,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Квартира,"Донецька обл., м. Дружківка, вул. Козацька, буд. 64, кв. 4",63.0,,01.04.2020,,безоплатне користування приміщенням,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Нежитлове приміщення,"вул. Центральна, буд. 49, м. Марганець, Дніпропетровська обл.",12.8,,02.03.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Нежитлове приміщення,"вул. Трубченка, буд. 6/29, м. Нікополь, Дніпропетровська обл.",52.0,,14.05.2019,,Суборенда,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Сумська обл., м. Кролевець, вул. Героїв України, буд. 4",25.8,,01.03.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Сумська обл., м. Лебедин, вул. Тараса Шевченка, буд. 5",10.0,,01.11.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Сумська обл., м. Охтирка, вул. Незалежності, буд. 12",34.1,,05.02.2020,,Оренда,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
нежитлове приміщення,"м. Суми, вул. Троїцька, буд. 1",3.0,,02.12.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Сумська обл., м. Шостка, вул. 6-ї Гвардійської дивізії, буд. 5, корпус 1",10.0,,01.04.2020,,безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Сумська обл., м. Лебедин, вул. Тараса Шевченка, буд. 5",4.0,,01.11.2020,,безоплатне користування,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Сумська обл., смт Липова Долина, вул. Загорянка, буд. 2",43.4,,07.10.2016,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
нежитлове приміщення,"м. Суми, вул. Троїцька, буд. 1",3.0,,02.12.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Сумська обл., м. Середино-Буда, вул. Горького, буд. 6, кв. 3",20.2,,01.01.2018,,безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Сумська обл., м. Охтирка, вул. Незалежності, буд. 12",4.0,,05.02.2020,,безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"м. Суми, вул. Троїцька, буд. 1",3.0,,02.12.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"м. Суми, вул. Горького, буд. 2",140.4,,21.08.2018,,Оренда,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Нежитлова будівля,"м. Житомир, вул. Леха Качинського, буд. 20",304.0,,01.02.2017,3356300,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Нежитлова будівля,"м. Житомир, вул. Леха Качинського, буд. 20",304.0,,01.03.2021,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"м. Суми, вул. Троїцька, буд. 1",3.7,,02.12.2020,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"м. Суми, вул. Бельгійська, буд. 9",24.2,,30.01.2020,,суборенда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Офіс,"Львівська обл., м. Стебник, вул. м.. Грушевського, буд. 11",125.0,,01.01.2019,,безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
Кімната,"Львівська обл., м. Дрогобич, вул. Шкільна, буд. 4",29.9,,01.06.2017,,Оренда,,,Юридична особа,БАТЬКІВЩИНА,2021-03-31,1,2021
