Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
газета,"Газета ""Батьківщина Сумська"" серія СМ №772/394Р",БАТЬКІВЩИНА,1,2021
Друкований засіб масової інформації,"Друкований засіб масової інформації ""Батьківщина"" ",БАТЬКІВЩИНА,1,2021
"газета ""СЛОБОЖАНСЬКА БАТЬКІВШИНА""",друкований ЗМІ,БАТЬКІВЩИНА,1,2021
"Друковані засоби масової інформації - газета ""Наша Батьківщина""",газета,БАТЬКІВЩИНА,1,2021
Авторське право та суміжні з ним права,"Газета ""Голос Батьківщини""",БАТЬКІВЩИНА,1,2021
Газета,"Газета ""Твоя Батьківщина"" свідоцтво серія ЧС №1001Р від 27.02.2018 р.",БАТЬКІВЩИНА,1,2021
Авторське право та суміжні з ним права,1-С Підприємство-8,БАТЬКІВЩИНА,1,2021
Авторське право та суміжні з ним права,"Компютерна прграма""М.Е.Doc"".2019",БАТЬКІВЩИНА,1,2021
" Друкований засіб масової інформації:газета - ""Київщина-моя Батьківщина""","Газета ""Київщина-моя Батьківщина""",БАТЬКІВЩИНА,1,2021
Інші нематеріальні активи,"Друковані засоби массової інформації газета""14 днів""",БАТЬКІВЩИНА,1,2021
Інші нематеріальні активи,"Друковані засоби массової інформації газета""Павлоградські обрії""",БАТЬКІВЩИНА,1,2021
Інші нематеріальні активи,"Друковані засоби массової інформації газета""Хочу в прорив""",БАТЬКІВЩИНА,1,2021
Інші нематериальні права,"Друковані засоби массової інформації газета""Батьківщина""",БАТЬКІВЩИНА,1,2021
домен,домен https://batkivshchyna.dp.ua/,БАТЬКІВЩИНА,1,2021
домен,трансфер домена pro-line.dp.ua,БАТЬКІВЩИНА,1,2021
Газета,"газета ""Батьківщина Волині""",БАТЬКІВЩИНА,1,2021
Домен,домен batkivshchyna.volyn.ua ID 20561,БАТЬКІВЩИНА,1,2021
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",газета Під прапором Батькіщини,БАТЬКІВЩИНА,1,2021
газета,Слово Батьківщини,БАТЬКІВЩИНА,1,2021
Друкований засіб масової інформації,"Газета ""Київський майдан""",БАТЬКІВЩИНА,1,2021
Друкований засіб масової інформації,"Газета ""КИЇВСЬКЕ СЛОВО""",БАТЬКІВЩИНА,1,2021
Газета,"Газета ""Батьківщина""",БАТЬКІВЩИНА,1,2021
Офіційний сайт,Сайт,БАТЬКІВЩИНА,1,2021
Програмна продукція,1-С :Підприємство 8,БАТЬКІВЩИНА,1,2021
Програмна продукція,1-С :Підприємство 8 (додаткове робоче місце),БАТЬКІВЩИНА,1,2021
Програмна продукція,1-С :Підприємство 8 (клієнт- банк),БАТЬКІВЩИНА,1,2021
Програмна продукція,1-С :Підприємство 8 (додаткове робоче місце),БАТЬКІВЩИНА,1,2021
Програмна продукція,Програмна продукція Windows Professional 10 SNGL OLP NL Legalization GetGenuine wCOA ,БАТЬКІВЩИНА,1,2021
Програмна продукція,Програмна продукція Office Home and Business 2016 Win AllLng PKLic Onln CEE Only C2R NR Windows Professional 10 SNGL OLP NL Legalization GetGenuine wCOA ,БАТЬКІВЩИНА,1,2021
Програмна продукція,Програмна продукція Acrobat Pro DC for teams ALL Multiple Platforms Multi European Languages Team Licensing Subscription New GOV,БАТЬКІВЩИНА,1,2021
Домен,домен beauty.net.ua,БАТЬКІВЩИНА,1,2021
Домен,домен byut.com.ua,БАТЬКІВЩИНА,1,2021
Домен,домен bа.org.ua,БАТЬКІВЩИНА,1,2021
сертифікат для домена,SSL для домена,БАТЬКІВЩИНА,1,2021
програмна продукція,"програмна продукція ""M.E.Doc"" ліцензія ""Звітність""",БАТЬКІВЩИНА,1,2021
програмна продукція,"програмна продукція ""M.E.Doc"" ліцензія ""Облік ПДВ""",БАТЬКІВЩИНА,1,2021
Газета,"Газета ""Батьківщина Сумська"" серія СМ №772/394Р",БАТЬКІВЩИНА,4,2021
"ДРУКОВАНИЙ ЗАСОБ МАСОВОЇ ІНФОРМАЦІЇ (ГАЗЕТА) ""НАША БАТЬКІВЩИНА""",газета,БАТЬКІВЩИНА,4,2021
Газета «СЛОБОЖАНСЬКА БАТЬКІВЩИНА»,друкований ЗМІ,БАТЬКІВЩИНА,4,2021
Друкований засіб масової інформації,"Друкований засіб масової інформації ""Батьківщина""",БАТЬКІВЩИНА,4,2021
Авторське право та суміжні з ним права,"Газета ""Голос Батьківщини""",БАТЬКІВЩИНА,4,2021
Газета,"Газета ""Твоя Батьківщина"" свідоцтво серія ЧС №1001Р від 27.02.2018 р.",БАТЬКІВЩИНА,4,2021
Авторське право та суміжні з ним права,1-С Підприємство-8,БАТЬКІВЩИНА,4,2021
Авторське право та суміжні з ним права,"Компютерна програма ""М.Е.Doc""2019 ",БАТЬКІВЩИНА,4,2021
"Друкований засіб масової інформації:газета - ""Київщина-моя Батьківщина""","Газета ""Київщина-моя Батьківщина""",БАТЬКІВЩИНА,4,2021
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""14 днів""",БАТЬКІВЩИНА,4,2021
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""Хочу в прорив""",БАТЬКІВЩИНА,4,2021
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""Павлоградські обрії""",БАТЬКІВЩИНА,4,2021
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""Батьківщина""",БАТЬКІВЩИНА,4,2021
домен,домен https://batkivshchyna.dp.ua/,БАТЬКІВЩИНА,4,2021
домен,трансфер домена pro-line.dp.ua,БАТЬКІВЩИНА,4,2021
газета,Слово Батьківщини,БАТЬКІВЩИНА,4,2021
Газета,"Газета ""Батьківщина Волині""",БАТЬКІВЩИНА,4,2021
Домен,домен batkivshchyna.volyn.ua ID 20561,БАТЬКІВЩИНА,4,2021
Авторське право та суміжні з ним права,"Послуги з реєстрації доменного імені byut.rv,ua",БАТЬКІВЩИНА,4,2021
Друкований засіб масової інформації,"Газета ""Київський майдан""",БАТЬКІВЩИНА,4,2021
Друкований засіб масової інформації,"Газета ""КИЇВСЬКЕ СЛОВО""",БАТЬКІВЩИНА,4,2021
Газета,"Газета ""Батьківщина""",БАТЬКІВЩИНА,4,2021
Офіційний сайт,Сайт,БАТЬКІВЩИНА,4,2021
Програмна продукція,1-С :Підприємство 8,БАТЬКІВЩИНА,4,2021
