Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ВІДРОДЖЕННЯ,Великомихайлівська районна організація,Одеська область,34251266,"Одеська обл., Великомихайлівський р-н, вул. Старомихайлівська, буд. 2В","Одеська обл., Великомихайлівський р-н, вул. Старомихайлівська, буд. 2В",
ВІДРОДЖЕННЯ,Апостолівська районна організація Дніпропетровської області,Дніпропетровська область,39972126,"Дніпропетровська обл., Апостолівський р-н, вул. Вокзальна, буд. 5","Дніпропетровська обл., Апостолівський р-н, вул. Вокзальна, буд. 5",
ВІДРОДЖЕННЯ,Арцизька районна організація,Одеська область,34130422,"Одеська обл., Арцизький р-н, вул. Акімова, буд. 39","Одеська обл., Арцизький р-н, вул. Акімова, буд. 39",
ВІДРОДЖЕННЯ,Балтська районна організація,Одеська область,33850058,"Одеська обл., Балтський р-н, вул. Поштова, буд. 19","Одеська обл., Балтський р-н, вул. Поштова, буд. 19",
ВІДРОДЖЕННЯ,Березанська міська організація,Київська область,34068852,"Київська обл., м. Березань, пров. Шкільний, буд. 14","Київська обл., м. Березань, пров. Шкільний, буд. 14",
ВІДРОДЖЕННЯ,Білгород-Дністровська міська організація,Одеська область,37291816,"Одеська обл., м. Білгород-Дністровський, вул. Захисників України, буд. 12","Одеська обл., м. Білгород-Дністровський, вул. Захисників України, буд. 12",
ВІДРОДЖЕННЯ,Близнюківська районна організація,Харківська область,32656406,"Харківська обл., Близнюківський р-н, Механізаторів вʼїзд, 1","Харківська обл., Близнюківський р-н, Механізаторів вʼїзд, 1",
ВІДРОДЖЕННЯ,Великобагачанська районна організація,Полтавська область,39963923,"Полтавська обл., Великобагачанський р-н, пров. Зелений, буд. 2","Полтавська обл., Великобагачанський р-н, пров. Зелений, буд. 2",
ВІДРОДЖЕННЯ,Волинська обласна організація,Волинська область,26517290,"Волинська обл., м. Луцьк, вул. Дубнівська, буд. 66","Волинська обл., м. Луцьк, вул. Дубнівська, буд. 66",
ВІДРОДЖЕННЯ,Гребінківська районна організація,Полтавська область,39966374,"Полтавська обл., Гребінківський р-н, вул. Магістральна, буд. 64","Полтавська обл., Гребінківський р-н, вул. Магістральна, буд. 64",
ВІДРОДЖЕННЯ,Житомирська обласна організація,Житомирська область,26556404,"Житомирська обл., м. Житомир, вул. Нобелівська, буд. 5А","Житомирська обл., м. Житомир, вул. Нобелівська, буд. 5А",
ВІДРОДЖЕННЯ,Гадяцька районна організація,Полтавська область,39949921,"Полтавська обл., м. Гадяч, вул. Лохвицька, буд. 29","Полтавська обл., м. Гадяч, вул. Лохвицька, буд. 29",
ВІДРОДЖЕННЯ,Диканська районна організація,Полтавська область,39965009,"Полтавська обл., Диканський р-н, вул. Даценка, буд. 67","Полтавська обл., Диканський р-н, вул. Даценка, буд. 67",
ВІДРОДЖЕННЯ,Донецька обласна організація,Донецька область,26593546,"Донецька обл., м. Покровськ, вул. Європейська, буд. 22","Донецька обл., м. Покровськ, вул. Європейська, буд. 22",
ВІДРОДЖЕННЯ,Жовтнева районна організація,Миколаївська область,34203123,"Миколаївська обл., Вітовський р-н, вул. Дорожна, буд. 7","Миколаївська обл., Вітовський р-н, вул. Дорожна, буд. 7",
ВІДРОДЖЕННЯ,Закарпатська обласна організація,Закарпатська область,26586606,"Закарпатська обл., м. Мукачево, вул. Духновича Олександра, буд. 90А","Закарпатська обл., м. Мукачево, вул. Духновича Олександра, буд. 90А",
ВІДРОДЖЕННЯ,Запорізька міська організація,Запорізька область,26573839,"Запорізька обл., м. Запоріжжя, вул. Серікова Сергія, буд. 1","Запорізька обл., м. Запоріжжя, вул. Серікова Сергія, буд. 1",
ВІДРОДЖЕННЯ,Запорізька обласна організація,Запорізька область,26573806,"Запорізька обл., м. Запоріжжя, вул. Серікова Сергія, буд. 1","Запорізька обл., м. Запоріжжя, вул. Серікова Сергія, буд. 1",
ВІДРОДЖЕННЯ,Знамянська міська організація Партії Відродження,Кіровоградська область,36812565,"Кіровоградська обл., м. Знамʼянка, вул. Грушевського Михайла, буд. 10А","Кіровоградська обл., м. Знамʼянка, вул. Грушевського Михайла, буд. 10А",
ВІДРОДЖЕННЯ,Зіньківська районна організація,Полтавська область,39955980,"Полтавська обл., Зіньківський р-н, вул. Воздвиженська, буд. 26 А","Полтавська обл., Зіньківський р-н, вул. Воздвиженська, буд. 26 А",
ВІДРОДЖЕННЯ,Кривоозерська районна організація,Миколаївська область,34203370,"Миколаївська обл., Кривоозерський р-н, вул. Центральна, буд. 70","Миколаївська обл., Кривоозерський р-н, вул. Центральна, буд. 70",
ВІДРОДЖЕННЯ,Київська міська організація,київ,26549628,"м.. київ, Соломʼянський, просп. Повітрофлотський, буд. 25","м.. київ, Соломʼянський, просп. Повітрофлотський, буд. 25",
ВІДРОДЖЕННЯ,Київська обласна організація,Київська область,26549634,"Київська обл., м. Біла Церква, вул. Героїв Небесної Сотні, буд. 24","Київська обл., м. Біла Церква, вул. Героїв Небесної Сотні, буд. 24",
ВІДРОДЖЕННЯ,Кіровоградська міська організація,Кіровоградська область,39959880,"Кіровоградська обл., м. Кропивницький, вул. Декабристів, буд. 4","Кіровоградська обл., м. Кропивницький, вул. Декабристів, буд. 4",
ВІДРОДЖЕННЯ,Кобеляцька районна організація,Полтавська область,40016534,"Полтавська обл., Кобеляцький р-н, вул. Дружби, буд. 13","Полтавська обл., Кобеляцький р-н, вул. Дружби, буд. 13",
ВІДРОДЖЕННЯ,Козельщинська районна організація,Полтавська область,40079228,"Полтавська обл., Козельщинський р-н, вул. Монастирська, буд. 33","Полтавська обл., Козельщинський р-н, вул. Монастирська, буд. 33",
ВІДРОДЖЕННЯ,Кременчуцька міська організація,Полтавська область,39972566,"Полтавська обл., м. Кременчук, вул. Першотравнева, буд. 37","Полтавська обл., м. Кременчук, вул. Першотравнева, буд. 37",
