Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Володарська районна організація,Київська область,36760947,"Київська обл., Володарський р-н, вул. Коцюбинського, буд. 22","Київська обл., Володарський р-н, вул. Коцюбинського, буд. 22",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Вінницька міська організація політичної партії Українська платформа Собор,Вінницька область,26286206,"Вінницька обл., м. Вінниця, вул. Бевза, буд. 34","Вінницька обл., м. Вінниця, вул. Бевза, буд. 34",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Тячівська районна організація Республіканської платформи,Закарпатська область,37260362,"Закарпатська обл., Тячівський р-н, вул. Ольги Княгині, буд. 14","Закарпатська обл., Тячівський р-н, вул. Ольги Княгині, буд. 14",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Камінь-Каширська районна організація,Волинська область,34005074,"Волинська обл., Камінь-Каширський р-н, вул. Шевченка, буд. 78А","Волинська обл., Камінь-Каширський р-н, вул. Шевченка, буд. 78А",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Миколаївська обласна організація Політичної партії Українська платформа Собор,Миколаївська область,23044980,"Миколаївська обл., м. Миколаїв, вул. Лазурна, буд. 50","Миколаївська обл., м. Миколаїв, вул. Лазурна, буд. 50",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Дніпропетровська обласна організація Республіканської платформи,Дніпропетровська область,21910433,"Дніпропетровська обл., м. Дніпро, вул. Володимира Мономаха, буд. 17","Дніпропетровська обл., м. Дніпро, вул. Володимира Мономаха, буд. 17",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Ківерцівська районна організація політичної партії Українська платформа Собор,Волинська область,38485528,"Волинська обл., Ківерцівський р-н, вул. Шевченка, буд. 5","Волинська обл., Ківерцівський р-н, вул. Шевченка, буд. 5",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Луцька міська організація політичної партії Українська платформа Собор,Волинська область,26208235,"Волинська обл., м. Луцьк, вул. Кривий Вал, буд. 21","Волинська обл., м. Луцьк, вул. Кривий Вал, буд. 21",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Одеська міська організація,Одеська область,34024616,"Одеська обл., м. Одеса, вул. Філатова академіка, буд. 34","Одеська обл., м. Одеса, вул. Філатова академіка, буд. 34",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Чернігівська обласна організація політичної партії Українська платформа Собор,Чернігівська область,26382619,"Чернігівська обл., м. Чернігів, вул. Шрага І., буд. 6","Чернігівська обл., м. Чернігів, вул. Шрага І., буд. 6",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Чернівецька обласна організація політичної партії Українська платформа Собор,Чернівецька область,23246258,"Чернівецька обл., м. Чернівці, вул. Головна, буд. 9","Чернівецька обл., м. Чернівці, вул. Головна, буд. 9",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Болехівська міська організація,Івано-франківська область,26342301,"Івано-франківська обл., м. Болехів, вул. Галицького Д., буд. 116","Івано-франківська обл., м. Болехів, вул. Галицького Д., буд. 116",
РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Буська районна організація політичної партії Українська платформа Собор,Львівська область,22341693,"Львівська обл., Буський р-н, вул. Грушевського, буд. 1","Львівська обл., Буський р-н, вул. Грушевського, буд. 1",
