Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Авторське право та суміжні з ним права,Сайт партії,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,1,2021
Програми ЕОМ,Операційна система,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,1,2021
Авторське право та суміжні з ним права,Сайт,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,4,2021
Авторське право та суміжні з ним права,Сайт партії,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,4,2021
Програми ЕОМ,Операційна система,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,4,2021
Авторське право та суміжні з ним права,Сайт організації,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,3,2021
Авторське право та суміжні з ним права,Сайт партії,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,3,2021
Програми ЕОМ,Операційна система,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,3,2021
Авторське право та суміжні з ним права,Сайт партії,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,2,2021
Програми ЕОМ,Операційна система,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,2,2021
