Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма ПО Microsoft 365 Business Basic 1 Year Corporate (bd938f12 1Y) ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.dok""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Ліцензія на право користування програми Дебет Кредит,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для EOM ""M.E.Doс""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10 ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10 ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Ліцензія на використання програми для ЕОМ ""M.e.doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Ліцензія на використання програми для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.E.Doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""ВАРТА"" сертифікат електронного ключа",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" сертифікат електронного ключа",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""М.Е.док"" модуль ""Звітність""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business програмне забезпечення,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмне забезпечення M.E.Doc ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,ПРОГРАМНА ПРОДУКЦІЯ MICROSOFT OFFICE HOME AND BUSINESS,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Веб-сайт https://sluganarodu-kh.com.ua/,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Право використання доменного імені,Домен sluganarodu-kh.com.ua,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Программа для ЕОМ КП ""Програмний комлекс ""Варта""",СЛУГА НАРОДУ,4,2021
