Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ВАСИЛЬКІВСЬКИЙ МІСЬКИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Київська область,36999145,"Київська обл., Обухівський р-н, вул. Козацька, буд. 96","Київська обл., Обухівський р-н, вул. Козацька, буд. 96",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ДНІПРОПЕТРОВСЬКА МІСЬКА організація,Дніпропетровська область,33906863,"Дніпропетровська обл., м. Дніпро, просп. Поля Олександра, буд. 103","Дніпропетровська обл., м. Дніпро, просп. Поля Олександра, буд. 103",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,Дніпропетровська область,26368737,"Дніпропетровська обл., м. Дніпро, вул. Омеляновича-Павленка, буд. 52","Дніпропетровська обл., м. Дніпро, вул. Омеляновича-Павленка, буд. 52",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,РОМАНІВСЬКА РАЙОННА організація,Житомирська область,26062330,"Житомирська обл., Житомирський р-н, вул. Шевченка, буд. 1","Житомирська обл., Житомирський р-н, вул. Шевченка, буд. 1",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ОБОЛОНСЬКИЙ РАЙОННИЙ ОСЕРЕДОК ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,київ,26267054,"м.. київ, Оболонський, вул. Йорданська, буд. 7А","м.. київ, Оболонський, вул. Йорданська, буд. 7А",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,САРНЕНСЬКИЙ МІСЬКИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Рівненська область,26259758,"Рівненська обл., Сарненський р-н, вул. Огієнка Івана, буд. 2Б","Рівненська обл., Сарненський р-н, вул. Огієнка Івана, буд. 2Б",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,БАРСЬКИЙ РАЙОННИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Вінницька область,26285922,"Вінницька обл., Жмеринський р-н, вул. Соборна, буд. 23А","Вінницька обл., Жмеринський р-н, вул. Соборна, буд. 23А",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,САРНЕНСЬКИЙ РАЙОННИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Рівненська область,26259741,"Рівненська обл., Сарненський р-н, вул. Суворова, буд. 5","Рівненська обл., Сарненський р-н, вул. Суворова, буд. 5",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ЗОЛОЧІВСЬКИЙ МІСЬКИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Львівська область,37122676,"Львівська обл., Золочівський р-н, вул. Польна, буд. 28","Львівська обл., Золочівський р-н, вул. Польна, буд. 28",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ХАРКІВСЬКИЙ ОБЛАСНИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Харківська область,36986555,"Харківська обл., м. Харків, вул. Карпинського, буд. 11","Харківська обл., м. Харків, вул. Карпинського, буд. 11",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,БІЛГОРОД-ДНІСТРОВСЬКИЙ РАЙОННИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Одеська область,36860362,"Одеська обл., Білгород-Дністровський р-н, вул. Незалежності, буд. 10","Одеська обл., Білгород-Дністровський р-н, вул. Незалежності, буд. 10",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,РОМЕНСЬКА РАЙОННА організація,Сумська область,33219436,"Сумська обл., Роменський р-н, вул. Вознесенська, буд. 23","Сумська обл., Роменський р-н, вул. Вознесенська, буд. 23",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ЗАПОРІЗЬКИЙ МІСЬКИЙ ОСЕРЕДОК ПОЛІТИЧНОЇ ПАРТІЇ МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,Запорізька область,25919922,"Запорізька обл., м. Запоріжжя, пров. Світловий, буд. 2А","Запорізька обл., м. Запоріжжя, пров. Світловий, буд. 2А",
МАЛОГО І СЕРЕДНЬОГО БІЗНЕСУ УКРАЇНИ,ДНІПРОВСЬКА РАЙОННА організація,київ,25772716,"м.. київ, Святошинський, вул. Бутлерова Академіка, буд. 6","м.. київ, Святошинський, вул. Бутлерова Академіка, буд. 6",
