Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,ВЕЛИКОНОВОСІЛКІВСЬКА РАЙОННА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Донецька область,26081705,"Донецька обл., Горлівський р-н, вул. Артема, буд. 35","Донецька обл., Горлівський р-н, вул. Артема, буд. 35",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,ДИМИТРІВСЬКА МІСЬКА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Донецька область,26081728,"Донецька обл., Покровський р-н, вул. Комарова, буд. 9","Донецька обл., Покровський р-н, вул. Комарова, буд. 9",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,РОКИТНIВСЬКА РАЙОННА ОРГАНIЗАЦIЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНIСТЬ,Рівненська область,26151452,"Рівненська обл., Сарненський р-н, вул. Горького, буд. 15","Рівненська обл., Сарненський р-н, вул. Горького, буд. 15",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,КОРОПСЬКА РАЙОННА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Чернігівська область,26091632,"Чернігівська обл., Новгород-Сіверський р-н, вул. Нова, буд. 3","Чернігівська обл., Новгород-Сіверський р-н, вул. Нова, буд. 3",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,ДЗЕРЖИНСЬКА МІСЬКА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Донецька область,26081734,"Донецька обл., Донецький р-н, вул. Абрикосова, буд. 3","Донецька обл., Донецький р-н, вул. Абрикосова, буд. 3",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,ЗДОЛБУНІВСЬКА РАЙОННА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Рівненська область,26151251,"Рівненська обл., Рівненський р-н, вул. Церковна, буд. 14А","Рівненська обл., Рівненський р-н, вул. Церковна, буд. 14А",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,ПЕРВОМАЙСЬКА РАЙОННА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Харківська область,26066456,"Харківська обл., Лозівський р-н, вул. 1 Травня, буд. 4","Харківська обл., Лозівський р-н, вул. 1 Травня, буд. 4",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,ЗМІЇВСЬКА РАЙОННА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Харківська область,26066485,"Харківська обл., Чугуївський р-н, вул. Вишнева, буд. 1","Харківська обл., Чугуївський р-н, вул. Вишнева, буд. 1",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,БОРИСПІЛЬСЬКА РАЙОННА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Київська область,26104725,"Київська обл., Бориспільський р-н, вул. Суворова, буд. 9","Київська обл., Бориспільський р-н, вул. Суворова, буд. 9",
НАРОДНИЙ РУХ ЗА ЄДНІСТЬ УКРАЇНИ,БРОВАРСЬКА МІСЬКА ОРГАНІЗАЦІЯ НАРОДНОГО РУХУ УКРАЇНИ ЗА ЄДНІСТЬ,Київська область,26103938,"Київська обл., Броварський р-н, вул. Чайковського, буд. 2","Київська обл., Броварський р-н, вул. Чайковського, буд. 2",
