Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"м. Харків, вул. Суздальські Ряди, буд. 12, нежитлові приміщення №17; 17а; 26; 26а; 27; 12; 29; 29а; 29б; 29в, що розташовані на першому поверсі",257.8,,12.06.2020,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Харків, вул. Суздальські Ряди, буд. 12, нежитлове приміщення №1а, що розташоване на четвертому поверсі",37.7,,01.12.2020,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Харківська обл., м. Купʼянськ, вул. Сватівська, буд. 51, нежитлове приміщення (офісне) №2 (кабінет №1) на першому поверсі будівлі літера ""Ж 1""",34.3,,01.07.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Харківська обл., Красноградський р-н, м. Красноград, вул. Преображенська, буд. 6, нежитлове приміщення під літ.""А"" в напівпідвальному поверсі пʼятиповерхового житлового цегляного будинку",92.7,,01.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Харківська обл., Богодухівський р-н, м. Богодухів, вул. Шевченка, буд. 11, частина нежитлового приміщення під літ. ""А-1"" на І поверсі будівлі",13.5,,17.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Харківська обл., м. Чугуїв, вул. Жадановськго, буд. 2, частина нежитлових приміщеннь 1-го поверху №73-1-:-73-5 в літ.""А-1""",20.0,,01.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Харківська обл., м. Лозова, вул. Грушевського Михайла, буд. 4, приміщення 3, частина нежитлового вбудованого приміщення під літерою ""А-5"" на І поверсі будівлі, літ. ""а 1""-ганок",51.2,,01.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Місто Київ, Печерський р-н, вул. Паркова дорога, буд. 16А, нежитлове приміщення на першому поверсі в будівлі №1 (літера А)",39.7,,26.04.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Київська обл., Фастівський р-н, м. Фастів, вул. Інтернаціональна, будівля 14, нежитлове приміщення на першому поверсі",55.5,,07.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Київська обл., Вишгородський р-н, м. Вишгород, вул. Шолуденка, буд. № 15-Д, нежитлове приміщення №76 на першому поверсі корпус 1",32.8,,15.07.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Київська обл., Бориспільський р-н, м. Бориспіль, вул. Київський Шлях, буд. № 69-а, частина нежитлового приміщення",79.45,,13.07.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Київська обл., Броварський р-н, м. Бровари, бульв. Незалежності, буд. № 15, нежитлове приміщення №72 на першому поверсі",67.4,,04.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Київська обл., Білоцерківський р-н, м. Біла Церква, вул. Гагаріна, буд. № 15, нежитлове приміщення №2 на першому поверсі",68.0,,08.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Київська обл., Бучанський р-н, м. Ірпінь, вул. Центральна, буд. 55, частина нежитлового приміщення №53 на першому поверсі",41.6,,08.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Київська обл., Обухівський р-н, м. Обухів, вул. Малишка, буд. 3, частина нежитлового приміщення",38.6,,01.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Тернопіль, вул. Чорновола, буд. № 1, приміщення №2-11, 2-12, 2-17, 2-18, 2-19, 2-20",90.1,,25.02.2022,1359379.25,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Івано-Франківськ, вул. Галицька 41 приміщення №5, другий поверх",40.7,,01.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Івано-Франківськ, вул. Галицька 41 приміщення №6, другий поверх",21.4,,01.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
