Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
УКРАЇНЦІ РАЗОМ,АПОСТОЛІВСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ,Дніпропетровська область,33557105,"Дніпропетровська обл., Криворізький р-н, вул. Визволення, буд. 38","Дніпропетровська обл., Криворізький р-н, вул. Визволення, буд. 38",
УКРАЇНЦІ РАЗОМ,БЕРДЯНСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Запорізька область,37048158,"Запорізька обл., Бердянський р-н, вул. Хіміків, буд. 6/12","Запорізька обл., Бердянський р-н, вул. Хіміків, буд. 6/12",
УКРАЇНЦІ РАЗОМ,БІЛГОРОД-ДНІСТРОВСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Одеська область,36860268,"Одеська обл., Білгород-Дністровський р-н, вул. Лихачова, буд. 18","Одеська обл., Білгород-Дністровський р-н, вул. Лихачова, буд. 18",
УКРАЇНЦІ РАЗОМ,БІЛОЗЕРСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Херсонська область,33487232,"Херсонська обл., Херсонський р-н, вул. Горіхова, буд. 15","Херсонська обл., Херсонський р-н, вул. Горіхова, буд. 15",
УКРАЇНЦІ РАЗОМ,ВАСИЛЬКІВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Київська область,34161487,"Київська обл., Обухівський р-н, вул. Преображенська, буд. 34 Б","Київська обл., Обухівський р-н, вул. Преображенська, буд. 34 Б",
УКРАЇНЦІ РАЗОМ,ГОРОДОЦЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Хмельницька область,33930946,"Хмельницька обл., Хмельницький р-н, вул. Бухти А., буд. 2А/4","Хмельницька обл., Хмельницький р-н, вул. Бухти А., буд. 2А/4",
УКРАЇНЦІ РАЗОМ,ДВОРІЧАНСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Харківська область,32522380,"Харківська обл., Купʼянський р-н, вул. Привокзальна, буд. 27","Харківська обл., Купʼянський р-н, вул. Привокзальна, буд. 27",
УКРАЇНЦІ РАЗОМ,ДНІПРОПЕТРОВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Дніпропетровська область,33907816,"Дніпропетровська обл., м. Дніпро, пров. Фестивальний, буд. 3","Дніпропетровська обл., м. Дніпро, пров. Фестивальний, буд. 3",
УКРАЇНЦІ РАЗОМ,ІЗМАЇЛЬСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Одеська область,35406731,"Одеська обл., Ізмаїльський р-н, вул. Осипенка, буд. 24","Одеська обл., Ізмаїльський р-н, вул. Осипенка, буд. 24",
УКРАЇНЦІ РАЗОМ,ІРПІНСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Київська область,33482758,"Київська обл., Бучанський р-н, вул. Стельмаха Михайла, буд. 5","Київська обл., Бучанський р-н, вул. Стельмаха Михайла, буд. 5",
УКРАЇНЦІ РАЗОМ,КАМІНЬ-КАШИРСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Волинська область,33366273,"Волинська обл., Камінь-Каширський р-н, вул. Шабліовського, буд. 16","Волинська обл., Камінь-Каширський р-н, вул. Шабліовського, буд. 16",
УКРАЇНЦІ РАЗОМ,КОСТОПІЛЬСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Рівненська область,33627549,"Рівненська обл., Рівненський р-н, вул. Руданського С., буд. 2","Рівненська обл., Рівненський р-н, вул. Руданського С., буд. 2",
УКРАЇНЦІ РАЗОМ,КОСТЯНТИНІВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Донецька область,33560736,"Донецька обл., Краматорський р-н, вул. Тихого Олекси, буд. 254","Донецька обл., Краматорський р-н, вул. Тихого Олекси, буд. 254",
УКРАЇНЦІ РАЗОМ,КОСТЯНТИНІВСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Донецька область,33380518,"Донецька обл., Краматорський р-н, вул. Поповича, буд. 30","Донецька обл., Краматорський р-н, вул. Поповича, буд. 30",
УКРАЇНЦІ РАЗОМ,КРИВОРІЗЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Дніпропетровська область,33760090,"Дніпропетровська обл., м. Кривий Ріг, просп. Гагаріна, буд. 21","Дніпропетровська обл., м. Кривий Ріг, просп. Гагаріна, буд. 21",
УКРАЇНЦІ РАЗОМ,МАЛИНОВСЬКА РАЙОННА В М.ОДЕСА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Одеська область,33720964,"Одеська обл., м. Одеса, пров. Хімічний 3, буд. 15","Одеська обл., м. Одеса, пров. Хімічний 3, буд. 15",
УКРАЇНЦІ РАЗОМ,МИКОЛАЇВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Миколаївська область,37278929,"Миколаївська обл., м. Миколаїв, вул. Старова архітектора, буд. 8Б","Миколаївська обл., м. Миколаїв, вул. Старова архітектора, буд. 8Б",
УКРАЇНЦІ РАЗОМ,НОВГОРОД-СІВЕРСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Чернігівська область,39544002,"Чернігівська обл., Новгород-Сіверський р-н, вул. Губернська, буд. 27","Чернігівська обл., Новгород-Сіверський р-н, вул. Губернська, буд. 27",
УКРАЇНЦІ РАЗОМ,НОВОВОЛИНСЬКА МІСЬКА ПАРТІЙНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Волинська область,33587810,"Волинська обл., Володимир-Волинський р-н, вул. Нововолинська, буд. 51","Волинська обл., Володимир-Волинський р-н, вул. Нововолинська, буд. 51",
УКРАЇНЦІ РАЗОМ,ПРИМОРСЬКА РАЙОННА М.ОДЕСИ ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Одеська область,33722914,"Одеська обл., м. Одеса, вул. Канатна, буд. 81","Одеська обл., м. Одеса, вул. Канатна, буд. 81",
УКРАЇНЦІ РАЗОМ,РЖИЩІВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Київська область,36298437,"Київська обл., Обухівський р-н, вул. Соборна, буд. 38","Київська обл., Обухівський р-н, вул. Соборна, буд. 38",
УКРАЇНЦІ РАЗОМ,САМБІРСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Львівська область,34166459,"Львівська обл., Самбірський р-н, вул. Короленка, буд. 9","Львівська обл., Самбірський р-н, вул. Короленка, буд. 9",
УКРАЇНЦІ РАЗОМ,СЕЛИДІВСЬКА МІСЬКА /ДОНЕЦЬКОЇ ОБЛАСТІ/ ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Донецька область,34031843,"Донецька обл., Покровський р-н, вул. Нагорна, буд. 41А","Донецька обл., Покровський р-н, вул. Нагорна, буд. 41А",
УКРАЇНЦІ РАЗОМ,ТРУСКАВЕЦЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Львівська область,33923618,"Львівська обл., Дрогобицький р-н, вул. Сагайдачного П., буд. 19","Львівська обл., Дрогобицький р-н, вул. Сагайдачного П., буд. 19",
УКРАЇНЦІ РАЗОМ,ФАСТІВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Київська область,39835014,"Київська обл., Фастівський р-н, вул. Соборна, буд. 43","Київська обл., Фастівський р-н, вул. Соборна, буд. 43",
УКРАЇНЦІ РАЗОМ,ФАСТІВСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Київська область,39835024,"Київська обл., Фастівський р-н, вул. Соборна, буд. 43","Київська обл., Фастівський р-н, вул. Соборна, буд. 43",
УКРАЇНЦІ РАЗОМ,ХАРКІВСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Харківська область,33672887,"Харківська обл., м. Харків, пров. Театральний, буд. 11/13","Харківська обл., м. Харків, пров. Театральний, буд. 11/13",
УКРАЇНЦІ РАЗОМ,ХАРКІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Харківська область,33672869,"Харківська обл., м. Харків, пров. Театральний, буд. 11/13","Харківська обл., м. Харків, пров. Театральний, буд. 11/13",
УКРАЇНЦІ РАЗОМ,ХУСТСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Закарпатська область,33763039,"Закарпатська обл., Хустський р-н, вул. Бращайків братів, буд. 8","Закарпатська обл., Хустський р-н, вул. Бращайків братів, буд. 8",
УКРАЇНЦІ РАЗОМ,ХУСТСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Закарпатська область,33767515,"Закарпатська обл., Хустський р-н, вул. Олімпійська, буд. 81","Закарпатська обл., Хустський р-н, вул. Олімпійська, буд. 81",
УКРАЇНЦІ РАЗОМ,ЧЕРВОНОГРАДСЬКА МІСЬКА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ТРЕТЯ СИЛА,Львівська область,37288649,"Львівська обл., Червоноградський р-н, вул. Хмельницького Б., буд. 14","Львівська обл., Червоноградський р-н, вул. Хмельницького Б., буд. 14",
УКРАЇНЦІ РАЗОМ,Центральний офіс,київ,33295936,"м.. київ, Шевченківський, вул. Саксаганського, буд. 143А","м.. київ, Шевченківський, вул. Саксаганського, буд. 143А","АТ ""БТА Банк"", ЄДРПОУ: 14359845, р/р № UA303217230000026009011006682; АТ ""Перший Український Міжнародний Банк"", ЄДРПОУ: 14282829, р/р № UA723348510000000026007110470"
