Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ЄДИНА АЛЬТЕРНАТИВА,ЛЬВІВСЬКА ОБЛАСНА організація,Львівська область,41531191,"Львівська обл., м. Львів, вул. Личаківська, буд. 139","Львівська обл., м. Львів, вул. Личаківська, буд. 139",
ЄДИНА АЛЬТЕРНАТИВА,ВОЛИНСЬКА ОБЛАСНА організація,Волинська область,41543736,"Волинська обл., Володимир-Волинський р-н, вул. Князя Василька, буд. 8","Волинська обл., Володимир-Волинський р-н, вул. Князя Василька, буд. 8",
ЄДИНА АЛЬТЕРНАТИВА,ІВАНО-ФРАНКІВСЬКА ОБЛАСНА організація,Івано-франківська область,41426546,"Івано-франківська обл., Івано-Франківський р-н, вул. Івана Павла II, буд. 30","Івано-франківська обл., Івано-Франківський р-н, вул. Івана Павла II, буд. 30",
ЄДИНА АЛЬТЕРНАТИВА,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,Тернопільська область,41543689,"Тернопільська обл., Тернопільський р-н, вул. Руська, буд. 15","Тернопільська обл., Тернопільський р-н, вул. Руська, буд. 15",
ЄДИНА АЛЬТЕРНАТИВА,КИЇВСЬКА МІСЬКА організація,київ,41471830,"м.. київ, Деснянський, вул. Бальзака Оноре де, буд. 55","м.. київ, Деснянський, вул. Бальзака Оноре де, буд. 55",
ЄДИНА АЛЬТЕРНАТИВА,ЖИТОМИРСЬКА ОБЛАСНА організація,Житомирська область,41441029,"Житомирська обл., Новоград-Волинський р-н, вул. Лисіна Академіка, буд. 58","Житомирська обл., Новоград-Волинський р-н, вул. Лисіна Академіка, буд. 58",
ЄДИНА АЛЬТЕРНАТИВА,КИЇВСЬКА ОБЛАСНА організація,Київська область,41456261,"Київська обл., Бучанський р-н, вул. Соборна, буд. 10","Київська обл., Бучанський р-н, вул. Соборна, буд. 10",
ЄДИНА АЛЬТЕРНАТИВА,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,Хмельницька область,41391257,"Хмельницька обл., Хмельницький р-н, вул. Попова, буд. 4","Хмельницька обл., Хмельницький р-н, вул. Попова, буд. 4",
ЄДИНА АЛЬТЕРНАТИВА,ВІННИЦЬКА ОБЛАСНА організація,Вінницька область,41465795,"Вінницька обл., Вінницький р-н, просп. Юності, буд. 83","Вінницька обл., Вінницький р-н, просп. Юності, буд. 83",
ЄДИНА АЛЬТЕРНАТИВА,ЧЕРНІВЕЦЬКА ОБЛАСНА організація,Чернівецька область,41434735,"Чернівецька обл., Чернівецький р-н, пл. Центральна, 4","Чернівецька обл., Чернівецький р-н, пл. Центральна, 4","АТ КБ ""ПриватБанк"", ЄДРПОУ: 14360570, р/р № UA073052990000026009011802150"
ЄДИНА АЛЬТЕРНАТИВА,СУМСЬКА ОБЛАСНА організація,Сумська область,41527159,"Сумська обл., м. Суми, просп. Шевченка Тараса, буд. 3","Сумська обл., м. Суми, просп. Шевченка Тараса, буд. 3",
ЄДИНА АЛЬТЕРНАТИВА,ДОНЕЦЬКА ОБЛАСНА організація,Донецька область,41534790,"Донецька обл., м. Маріуполь, просп. Миру, буд. 3","Донецька обл., м. Маріуполь, просп. Миру, буд. 3",
ЄДИНА АЛЬТЕРНАТИВА,ПОЛТАВСЬКА ОБЛАСНА організація,Полтавська область,41332249,"Полтавська обл., м. Полтава, пров. Ротача Петра, буд. 9","Полтавська обл., м. Полтава, пров. Ротача Петра, буд. 9",
ЄДИНА АЛЬТЕРНАТИВА,ЛУГАНСЬКА ОБЛАСНА організація,Луганська область,41535222,"Луганська обл., Сєвєродонецький р-н, вул. Енергетиків, буд. 74","Луганська обл., Сєвєродонецький р-н, вул. Енергетиків, буд. 74",
ЄДИНА АЛЬТЕРНАТИВА,ХАРКІВСЬКА ОБЛАСНА організація,Харківська область,41602581,"Харківська обл., м. Харків, просп. Науки, буд. 41/43","Харківська обл., м. Харків, просп. Науки, буд. 41/43",
ЄДИНА АЛЬТЕРНАТИВА,ХЕРСОНСЬКА ОБЛАСНА організація,Херсонська область,41558412,"Херсонська обл., м. Херсон, вул. Алмазова Генерала, буд. 43","Херсонська обл., м. Херсон, вул. Алмазова Генерала, буд. 43",
ЄДИНА АЛЬТЕРНАТИВА,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,Дніпропетровська область,41428847,"Дніпропетровська обл., м. Дніпро, вул. Савченка Юрія, буд. 6","Дніпропетровська обл., м. Дніпро, вул. Савченка Юрія, буд. 6",
ЄДИНА АЛЬТЕРНАТИВА,КІРОВОГРАДСЬКА ОБЛАСНА організація,Кіровоградська область,41527426,"Кіровоградська обл., м. Кропивницький, вул. Кропивницького, буд. 9","Кіровоградська обл., м. Кропивницький, вул. Кропивницького, буд. 9",
ЄДИНА АЛЬТЕРНАТИВА,ЧЕРКАСЬКА ОБЛАСНА організація,Черкаська область,41540033,"Черкаська обл., м. Черкаси, вул. Гагаріна, буд. 79","Черкаська обл., м. Черкаси, вул. Гагаріна, буд. 79",
