Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
"нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Rivne""",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin If""",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Kyiv""",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП ""Голос""",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""BAS Бухгалтерія. ПРОФ. компл на 5 кор.",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Прикладне ПЗ Аналітична система ""РАДА ГОЛОС""",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""BAS Бухгалтерія. ПРОФ. компл на 5 кор.",ГОЛОС,4,2023
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","твір під умовною назвою Голос"" ",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Невиключні майнові права інтелектуальної власності на систему ""eMap""",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-Сайт ""Голос Вінниця""",ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",ГАЗЕТА ПОЛІТИЧНОЇ ПАРТІЇ ГОЛОС,ГОЛОС,4,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Чат-бот,ГОЛОС,4,2023
Торгова марка чи комерційне найменування,"Торгові марки згідно зі свідоцтвами № 294983, № 297861, № 297862,№ 305032, № 305029, № 295481",ГОЛОС,4,2023
