Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
НАЦІОНАЛЬНИЙ КОРПУС,Закарпатська обласна організація,Закарпатська область,42152414,"Закарпатська обл., Ужгородський р-н, вул. Собранецька, буд. 146А","Закарпатська обл., Ужгородський р-н, вул. Собранецька, буд. 146А",
НАЦІОНАЛЬНИЙ КОРПУС,Львівська обласна організація,Львівська область,41719644,"Львівська обл., м. Львів, вул. Князя Романа, буд. 24","Львівська обл., м. Львів, вул. Князя Романа, буд. 24",
НАЦІОНАЛЬНИЙ КОРПУС,Запорізька обласна організація,Запорізька область,41786580,"Запорізька обл., м. Запоріжжя, вул. Незалежної України, буд. 37","Запорізька обл., м. Запоріжжя, вул. Незалежної України, буд. 37",
НАЦІОНАЛЬНИЙ КОРПУС,Городнянська міська організація,Чернігівська область,41751295,"Чернігівська обл., м. Чернігів, вул. Полуботка гетьмана, буд. 20/1","Чернігівська обл., м. Чернігів, вул. Полуботка гетьмана, буд. 20/1",
НАЦІОНАЛЬНИЙ КОРПУС,Черкаська обласна організація,Черкаська область,41746547,"Черкаська обл., м. Черкаси, вул. Гоголя, буд. 390","Черкаська обл., м. Черкаси, вул. Гоголя, буд. 390",
НАЦІОНАЛЬНИЙ КОРПУС,Сумська обласна організація,Сумська область,41748319,"Сумська обл., м. Суми, вул. Петропавлівська, буд. 74","Сумська обл., м. Суми, вул. Петропавлівська, буд. 74",
НАЦІОНАЛЬНИЙ КОРПУС,Київська обласна організація,Київська область,41744686,"Київська обл., Білоцерківський р-н, вул. Клінічна, буд. 6","Київська обл., Білоцерківський р-н, вул. Клінічна, буд. 6",
НАЦІОНАЛЬНИЙ КОРПУС,Чернівецька обласна організація,Чернівецька область,41855291,"Чернівецька обл., Чернівецький р-н, бульв. Героїв Крут, буд. 2","Чернівецька обл., Чернівецький р-н, бульв. Героїв Крут, буд. 2",
НАЦІОНАЛЬНИЙ КОРПУС,Житомирська обласна організація,Житомирська область,41833896,"Житомирська обл., м. Житомир, вул. Перемоги, буд. 19","Житомирська обл., м. Житомир, вул. Перемоги, буд. 19",
НАЦІОНАЛЬНИЙ КОРПУС,Дніпропетровська обласна організація,Дніпропетровська область,41969217,"Дніпропетровська обл., м. Дніпро, вул. Савкіна, буд. 6/4","Дніпропетровська обл., м. Дніпро, вул. Савкіна, буд. 6/4",
НАЦІОНАЛЬНИЙ КОРПУС,Донецька обласна організація,Донецька область,41961616,"Донецька обл., Краматорський р-н, вул. Дружби, буд. 10","Донецька обл., Краматорський р-н, вул. Дружби, буд. 10",
НАЦІОНАЛЬНИЙ КОРПУС,Херсонська обласна організація,Херсонська область,41934865,"Херсонська обл., м. Херсон, вул. Пилипа Орлика, буд. 15","Херсонська обл., м. Херсон, вул. Пилипа Орлика, буд. 15",
