Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Інші нематеріальні активи,Сайт: www.spravedlyvist.rv.ua,СПРАВЕДЛИВІСТЬ,1,2023
Інші нематеріальні активи,Програмне забезпечення 1С:Бухгалтерія 8 для України,СПРАВЕДЛИВІСТЬ,1,2023
Інші нематеріальні активи,"Газета ""СПРАВИ СПРАВЕДЛИВОСТІ"" Свідоцтво серії КВ № 22713-12613Р",СПРАВЕДЛИВІСТЬ,1,2023
Інші нематеріальні активи,Сайт: www.spravedlyvist.com.ua,СПРАВЕДЛИВІСТЬ,1,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,1,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,1,2023
Інші нематеріальні активи,"Програмний комплекс ""ВАРТА""",СПРАВЕДЛИВІСТЬ,1,2023
Інші нематеріальні права,Сайт: www.spravedlyvist.rv.ua,СПРАВЕДЛИВІСТЬ,4,2023
Інші нематеріальні активи,Програмне забезпечення 1С:Бухгалтерія 8 для України,СПРАВЕДЛИВІСТЬ,4,2023
Інші нематеріальні активи,"Газета ""СПРАВИ СПРАВЕДЛИВОСТІ"" Свідоцтво серії КВ № 22713-12613Р",СПРАВЕДЛИВІСТЬ,4,2023
Інші нематеріальні активи,Сайт: www.spravedlyvist.com.ua,СПРАВЕДЛИВІСТЬ,4,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,4,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,4,2023
Інші нематеріальні активи,"Програмний комплекс ""ВАРТА""",СПРАВЕДЛИВІСТЬ,4,2023
Інші нематеріальні активи,Сайт: www.spravedlyvist.rv.ua,СПРАВЕДЛИВІСТЬ,3,2023
Інші нематеріальні активи,Програмне забезпечення 1С:Бухгалтерія 8 для України,СПРАВЕДЛИВІСТЬ,3,2023
Інші нематеріальні активи,"Газета ""СПРАВИ СПРАВЕДЛИВОСТІ"" Свідоцтво серії КВ № 22713-12613Р",СПРАВЕДЛИВІСТЬ,3,2023
Інші нематеріальні активи,Сайт: www.spravedlyvist.com.ua,СПРАВЕДЛИВІСТЬ,3,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,3,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,3,2023
Інші нематеріальні активи,"Програмний комплекс ""ВАРТА""",СПРАВЕДЛИВІСТЬ,3,2023
Інші нематеріальні активи,Сайт: www.spravedlyvist.rv.ua,СПРАВЕДЛИВІСТЬ,2,2023
Інші нематеріальні активи,Програмне забезпечення 1С:Бухгалтерія 8 для України,СПРАВЕДЛИВІСТЬ,2,2023
Інші нематеріальні активи,"Газета ""СПРАВИ СПРАВЕДЛИВОСТІ"" Свідоцтво серії КВ № 22713-12613Р",СПРАВЕДЛИВІСТЬ,2,2023
Інші нематеріальні активи,Сайт: www.spravedlyvist.com.ua,СПРАВЕДЛИВІСТЬ,2,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,2,2023
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,2,2023
Інші нематеріальні активи,"Програмний комплекс ""ВАРТА""",СПРАВЕДЛИВІСТЬ,2,2023
