Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"України, м. Чернігів, Проспект Перемоги 93",90.8,,01.01.2024,816000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Волинська обл., м. Луцьк, просп. Волі 29",54.7,,01.01.2024,1520000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Івано-Франківська обл., м. Івано-Франівськ, вул. А. Сахарова, буд. 32",140.4,1297100626101,01.01.2024,2557.77,Оренда,"ПАТ ""Укртелеком""",21560766,Юридична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"м. Львів, вул. Винниченка, буд. 12, третій поверх, каб. 35",108.3,8021546101,01.04.2020,1450120.0,Оренда,"Громадська організація ""Мистецький Фонд Імені Короля Данила""",34903833,Юридична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"м. Моршин, вул. І. Франка, буд. 27",20.0,753418646107,01.04.2024,200000.0,Оренда,"Товариство з обмеженою відповідальністю ""Графська Вежа""",33436497,Юридична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Нежитлова будівля,"м. Житомир, вул. І. Сльоти, буд. 32/98",70.0,,01.01.2023,18538.39,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Нежитлова будівля,м. Запоріжжя вул. Перемоги б. 71 прим. VII А-5,144.9,,01.12.2024,2000000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Полтавська обл., м. Полава, вул. Орлика Пилипа, буд. 28",10.0,,01.11.2024,481927.71,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"м. Полтава, вул. Орлика Пилипа",166.0,,01.11.2024,8000000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"м. Харків, вул. Мироносицька 57",193.0,,01.12.2024,3600000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Нежитлова будівля,"м. Одеса, вул. Маразліївська, буд. 14А, кв. 5А",110.4,,01.01.2018,4387222.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Вінницька обл., м. Вінниця, пл. Гагаріна 4",171.8,,01.01.2021,450000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"м. Дніпро, вул. Криворізька, б. 2 оф. 33",10.0,,01.01.2024,101458.47,Суборенда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Закарпатська обл., м. Ужгород, вул. Перемоги буд. 1",69.0,,01.01.2024,1350000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Дніпропетровська обл., м. Дніпро, вул. Криворіжська, буд. 2",315.4,,01.01.2024,3200000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Дніпропетровська обл., м. Новомосковськ, вул. Сучкова, буд. 36",27.6,,01.01.2024,184000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"м. Черкаси, вул. Смілянська 2",80.0,,01.12.2023,2200000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Чернівецька обл., м. Чернівці, вул. 28 Червня, буд. 62",53.8,1534105473101,01.01.2024,800000.0,Оренда,"ТОВ ""Альфа Буд Інвест Буковина""",42958599,Юридична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
Офіс,"Кіровоградська обл., м. Кропивницький, вул. Велика Перспективна, буд. 3/5, кв. 24",100.0,,01.01.2024,2500000.0,Оренда,,,Фізична особа,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2024-12-31,4,2024
