Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлове приміщення,"м. Харків, вул. Короленка, буд. 12",4.4,,16.09.2019,,Оренда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"м. Кропивницький, вул. Декабристів 15",14.0,,16.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"м. Ужгород, вул. Шумна 25",15.0,,15.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"м. Чернівці, вул. Комарова 11",17.0,,16.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"м. Житомир, вул. Перемоги 3",13.0,,15.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"м. Херсон, вул. Лютеранська 24",15.0,,13.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"м. Запоріжжя, вул. Перемоги 40",17.5,,07.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"Луганська обл., м. Лисичанськ, вул. Володимира Сосюри 247в",15.0,,13.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"Вінниціька обл., м. Вінниця, вул. Скалецького 4",21.0,,13.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
Нежитлове приміщення,"м. Тернопіль, вул. Грушевського, буд. 23",16.0,,16.04.2020,,суборенда,"невідомо (суборендодавець- Товариство з обмеженою відповідальністю ""ГІСТОРГ"") адреса: Україна, 01133, м. Київ, бульвар Лесі Українки 27 (41244121)",00000000,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2024-06-30,2,2024
