Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ГРОМАДА,Чернігівська обласна організація,Чернігівська обл.,21391795,"Чернігівська обл., м. Чернігів, вул. Малиновського, 36","Чернігівська обл., м. Чернігів, вул. Малиновського, 36",
ГРОМАДА,Прилуцька районна організація,Чернігівська обл.,25623133,"Чернігівська обл.,  Прилуцький р-н, вул. Індустріальна, 41","Чернігівська обл.,  Прилуцький р-н, вул. Індустріальна, 41",
ГРОМАДА,Козелецька районна організація,Чернігівська обл.,25621105,"Чернігівська обл.,  Чернігівський р-н, вул. Свято-Преображенська, 10а","Чернігівська обл.,  Чернігівський р-н, вул. Свято-Преображенська, 10а",
ГРОМАДА,Ніжинська міська організація,Чернігівська обл.,25622790,"Чернігівська обл.,  Ніжинський р-н, вул. Незалежності, 27","Чернігівська обл.,  Ніжинський р-н, вул. Незалежності, 27",
ГРОМАДА,Ніжинська районна організація,Чернігівська обл.,22820560,"Чернігівська обл.,  Ніжинський р-н, вул. Незалежності, 27","Чернігівська обл.,  Ніжинський р-н, вул. Незалежності, 27",
ГРОМАДА,Чернівецька обласна організація,Чернівецька обл.,25082370,"Чернівецька обл., м. Чернівці, вул. Канівська, 1а","Чернівецька обл., м. Чернівці, вул. Канівська, 1а",
ГРОМАДА,Бобровицька районна організація,Чернігівська обл.,25620637,"Чернігівська обл.,  Ніжинський р-н, вул. Гагаріна, 21","Чернігівська обл.,  Ніжинський р-н, вул. Гагаріна, 21",
ГРОМАДА,Бахмацька міськрайонна організація,Чернігівська обл.,25622613,"Чернігівська обл.,  Ніжинський р-н, вул. Першотравнева, 16","Чернігівська обл.,  Ніжинський р-н, вул. Першотравнева, 16",
ГРОМАДА,Ічнянська районна організація,Чернігівська обл.,25621009,"Чернігівська обл.,  Прилуцький р-н, вул. Пушкіна, 8","Чернігівська обл.,  Прилуцький р-н, вул. Пушкіна, 8",
ГРОМАДА,Борзнянська районна організація,Чернігівська обл.,25620732,"Чернігівська обл.,  Ніжинський р-н, вул. Українська, 33","Чернігівська обл.,  Ніжинський р-н, вул. Українська, 33",
ГРОМАДА,Коропська районна організація,Чернігівська обл.,25621200,"Чернігівська обл.,  Новгород-Сіверський р-н, вул. Прорізна, 1","Чернігівська обл.,  Новгород-Сіверський р-н, вул. Прорізна, 1",
ГРОМАДА,Менська районна організація,Чернігівська обл.,30332503,"Чернігівська обл.,  Корюківський р-н, пров. Шкільний, 13","Чернігівська обл.,  Корюківський р-н, пров. Шкільний, 13",
ГРОМАДА,Корюківська районна організація,Чернігівська обл.,25621364,"Чернігівська обл.,  Корюківський р-н, вул. Корнієвського, 7","Чернігівська обл.,  Корюківський р-н, вул. Корнієвського, 7",
ГРОМАДА,Сосницька районна організація,Чернігівська обл.,25622205,"Чернігівська обл.,  Корюківський р-н, вул. Рокосовського, 10а","Чернігівська обл.,  Корюківський р-н, вул. Рокосовського, 10а",
ГРОМАДА,Хмельницька обласна організація,Хмельницька обл.,22765157,"Хмельницька обл., м. Хмельницький, вул. Гагаріна, 5","Хмельницька обл., м. Хмельницький, вул. Гагаріна, 5",
ГРОМАДА,Ватутінська міська організація,Черкаська обл.,25727080,"Черкаська обл.,  Звенигородський р-н, вул. Сонячна, 15","Черкаська обл.,  Звенигородський р-н, вул. Сонячна, 15",
ГРОМАДА,Жашківська районна організація,Черкаська обл.,33548071,"Черкаська обл.,  Уманський р-н, пров. Ринковий, 10","Черкаська обл.,  Уманський р-н, пров. Ринковий, 10",
ГРОМАДА,Шполянська районна організація,Черкаська обл.,25727068,"Черкаська обл.,  Звенигородський р-н, вул. Некрасова, 6","Черкаська обл.,  Звенигородський р-н, вул. Некрасова, 6",
ГРОМАДА,Черкаська обласна організація,Черкаська обл.,25207877,"Черкаська обл., м. Черкаси, вул. Сагайдачного гетьмана, 235","Черкаська обл., м. Черкаси, вул. Сагайдачного гетьмана, 235",
ГРОМАДА,Білогірська районна організація,Хмельницька обл.,21338507,"Хмельницька обл.,  Шепетівський р-н, вул. Чернавіна, 6","Хмельницька обл.,  Шепетівський р-н, вул. Чернавіна, 6",
ГРОМАДА,Славутська районна організація,Хмельницька обл.,22770626,"Хмельницька обл.,  Шепетівський р-н, вул. Грушевського Михайла, 3","Хмельницька обл.,  Шепетівський р-н, вул. Грушевського Михайла, 3",
ГРОМАДА,Славутська міська організація,Хмельницька обл.,22787453,"Хмельницька обл.,  Шепетівський р-н, вул. Грушевського Михайла, 23","Хмельницька обл.,  Шепетівський р-н, вул. Грушевського Михайла, 23",
ГРОМАДА,Нетішинська міська організація,Хмельницька обл.,22770201,"Хмельницька обл.,  Шепетівський р-н, вул. Шевченка, 10","Хмельницька обл.,  Шепетівський р-н, вул. Шевченка, 10",
ГРОМАДА,Полонська районна організація,Хмельницька обл.,22787466,"Хмельницька обл.,  Шепетівський р-н, вул. Київська, 8","Хмельницька обл.,  Шепетівський р-н, вул. Київська, 8",
ГРОМАДА,Летичівська районна організація,Хмельницька обл.,22765654,"Хмельницька обл.,  Хмельницький р-н, вул. Матвєєвої Олени, 6","Хмельницька обл.,  Хмельницький р-н, вул. Матвєєвої Олени, 6",
ГРОМАДА,Красилівська районна організація,Хмельницька обл.,22769824,"Хмельницька обл.,  Хмельницький р-н, вул. Грушевського М., 23","Хмельницька обл.,  Хмельницький р-н, вул. Грушевського М., 23",
ГРОМАДА,Новоушицька районна організація,Хмельницька обл.,22787414,"Хмельницька обл.,  Кам'янець-Подільський р-н, вул. Подільська, 51","Хмельницька обл.,  Кам'янець-Подільський р-н, вул. Подільська, 51",
ГРОМАДА,Хмельницька міська організація,Хмельницька обл.,22770879,"Хмельницька обл.,  Хмельницький р-н, вул. Чорновола В.М., 62","Хмельницька обл.,  Хмельницький р-н, вул. Чорновола В.М., 62",
ГРОМАДА,Волочиська районна організація,Хмельницька обл.,22776215,"Хмельницька обл.,  Хмельницький р-н, вул. Незалежності, 94","Хмельницька обл.,  Хмельницький р-н, вул. Незалежності, 94",
ГРОМАДА,Каховська міська організація,Херсонська обл.,25653022,"Херсонська обл.,  Каховський р-н, вул. Фаїни Гаєнко, 22","Херсонська обл.,  Каховський р-н, вул. Фаїни Гаєнко, 22",
ГРОМАДА,Дніпровська районна організація,Херсонська обл.,25650459,"Херсонська обл., м. Херсон,  Бериславське шосе, 27","Херсонська обл., м. Херсон,  Бериславське шосе, 27",
ГРОМАДА,Корабельна районна організація,Херсонська обл.,25651477,"Херсонська обл., м. Херсон,  Бериславське шосе, 27","Херсонська обл., м. Херсон,  Бериславське шосе, 27",
ГРОМАДА,Херсонська міська організація,Херсонська обл.,25650466,"Херсонська обл., м. Херсон,  Бериславське шосе, 27","Херсонська обл., м. Херсон,  Бериславське шосе, 27",
ГРОМАДА,Центральна районна організація,Херсонська обл.,25651460,"Херсонська обл., м. Херсон,  Бериславське шосе, 27","Херсонська обл., м. Херсон,  Бериславське шосе, 27",
ГРОМАДА,Херсонська обласна організація,Херсонська обл.,24950114,"Херсонська обл., м. Херсон,  Бериславське шосе, 27","Херсонська обл., м. Херсон,  Бериславське шосе, 27",
ГРОМАДА,Ярмолинецька районна організація,Хмельницька обл.,21338499,"Хмельницька обл.,  Хмельницький р-н, пров. Лесі Українки, 11а","Хмельницька обл.,  Хмельницький р-н, пров. Лесі Українки, 11а",
ГРОМАДА,Старокостянтинівська районна організація,Хмельницька обл.,22787420,"Хмельницька обл.,  Хмельницький р-н, вул. Острозького, 26","Хмельницька обл.,  Хмельницький р-н, вул. Острозького, 26",
ГРОМАДА,Купянська міська організація,Харківська обл.,06715757,"Харківська обл.,  Куп'янський р-н, пров. Гоголя, 8","Харківська обл.,  Куп'янський р-н, пров. Гоголя, 8",
ГРОМАДА,Купянська районна організація,Харківська обл.,06716018,"Харківська обл.,  Куп'янський р-н, просп. Конституції, 15","Харківська обл.,  Куп'янський р-н, просп. Конституції, 15",
ГРОМАДА,Нововодолазька районна організація,Харківська обл.,06715935,"Харківська обл.,  Харківський р-н, вул. Донця Григорія, 14","Харківська обл.,  Харківський р-н, вул. Донця Григорія, 14",
ГРОМАДА,Харківська районна організація,Харківська обл.,06715964,"Харківська обл.,  Харківський р-н,  Учбове містечко ХНАУ, 2т","Харківська обл.,  Харківський р-н,  Учбове містечко ХНАУ, 2т",
ГРОМАДА,Харківська обласна організація,Харківська обл.,24286931,"Харківська обл., м. Харків, вул. Киргизька, 15","Харківська обл., м. Харків, вул. Киргизька, 15",
ГРОМАДА,Валківська районна організація,Харківська обл.,06715834,"Харківська обл.,  Богодухівський р-н, вул. Вусівська, 4","Харківська обл.,  Богодухівський р-н, вул. Вусівська, 4",
ГРОМАДА,Білозерська районна організація,Херсонська обл.,30039938,"Херсонська обл., м. Херсон,  Бериславське шосе, 27","Херсонська обл., м. Херсон,  Бериславське шосе, 27",
ГРОМАДА,Генічеська районна організація,Херсонська обл.,30380447,"Херсонська обл.,  Генічеський р-н,  Фрунзе слободка, 16","Херсонська обл.,  Генічеський р-н,  Фрунзе слободка, 16",
ГРОМАДА,Первомайська районна організація,Харківська обл.,06715941,"Харківська обл.,  Лозівський р-н, вул. Соборна, 2","Харківська обл.,  Лозівський р-н, вул. Соборна, 2",
ГРОМАДА,Балаклійська районна організація,Харківська обл.,06715734,"Харківська обл.,  Ізюмський р-н, вул. Соборна, 77","Харківська обл.,  Ізюмський р-н, вул. Соборна, 77",
ГРОМАДА,Борівська районна організація,Харківська обл.,06715823,"Харківська обл.,  Ізюмський р-н, вул. Миру, 16","Харківська обл.,  Ізюмський р-н, вул. Миру, 16",
ГРОМАДА,Вовчанська районна організація,Харківська обл.,25457829,"Харківська обл.,  Чугуївський р-н, вул. Короленка, 52","Харківська обл.,  Чугуївський р-н, вул. Короленка, 52",
ГРОМАДА,Чугуївська міська організація,Харківська обл.,06715792,"Харківська обл.,  Чугуївський р-н, вул. Гагаріна, 30","Харківська обл.,  Чугуївський р-н, вул. Гагаріна, 30",
ГРОМАДА,Чугуївська районна організація,Харківська обл.,06715786,"Харківська обл.,  Чугуївський р-н, пл. Уланська, 19","Харківська обл.,  Чугуївський р-н, пл. Уланська, 19",
ГРОМАДА,Великобурлуцька районна організація,Харківська обл.,06715846,"Харківська обл.,  Куп'янський р-н, вул. Соборна, 50","Харківська обл.,  Куп'янський р-н, вул. Соборна, 50",
ГРОМАДА,Дергачівська районна організація,Харківська обл.,06715993,"Харківська обл.,  Харківський р-н, вул. Садова, 10б","Харківська обл.,  Харківський р-н, вул. Садова, 10б",
ГРОМАДА,Теребовлянська районна організація,Тернопільська обл.,25694676,"Тернопільська обл.,  Тернопільський р-н, вул. Застіноцька, 28","Тернопільська обл.,  Тернопільський р-н, вул. Застіноцька, 28",
ГРОМАДА,Бучацька районна організація,Тернопільська обл.,25694618,"Тернопільська обл.,  Чортківський р-н, вул. Шевченка Т., 5","Тернопільська обл.,  Чортківський р-н, вул. Шевченка Т., 5",
ГРОМАДА,Тернопільська обласна організація,Тернопільська обл.,24636926,"Тернопільська обл., м. Тернопіль, вул. Новий Світ, 1","Тернопільська обл., м. Тернопіль, вул. Новий Світ, 1",
