Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ОФІЦЕРСЬКИЙ КОРПУС,Волинська обласна організація,Волинська область,39843439,"Волинська обл., Луцький р-н, вул. Трункіна, буд. 3","Волинська обл., Луцький р-н, вул. Трункіна, буд. 3",
ОФІЦЕРСЬКИЙ КОРПУС,Дніпропетровська обласна організація,Дніпропетровська область,39852820,"Дніпропетровська обл., м. Дніпро, вул. Кондратюка Юрія, буд. 26","Дніпропетровська обл., м. Дніпро, вул. Кондратюка Юрія, буд. 26",
ОФІЦЕРСЬКИЙ КОРПУС,Донецька обласна організація Політичної партії Офіцерський коррпус,Донецька область,39906074,"Донецька обл., Донецький р-н, вул. Миру, буд. 29","Донецька обл., Донецький р-н, вул. Миру, буд. 29",
ОФІЦЕРСЬКИЙ КОРПУС,Житомирська обласна організація,Житомирська область,39921690,"Житомирська обл., Бердичівський р-н, вул. Ювілейна, буд. 15","Житомирська обл., Бердичівський р-н, вул. Ювілейна, буд. 15",
ОФІЦЕРСЬКИЙ КОРПУС,Закарпатська обласна організація,Закарпатська область,39889693,"Закарпатська обл., Мукачівський р-н, вул. Недецеї Яноша, буд. 45","Закарпатська обл., Мукачівський р-н, вул. Недецеї Яноша, буд. 45",
ОФІЦЕРСЬКИЙ КОРПУС,Запорізька обласна організація,Запорізька область,39852705,"Запорізька обл., м. Запоріжжя, вул. Дудикіна, буд. 51А","Запорізька обл., м. Запоріжжя, вул. Дудикіна, буд. 51А",
ОФІЦЕРСЬКИЙ КОРПУС,Івано-Франківська обласна організація,Івано-франківська область,39869731,"Івано-франківська обл., Калуський р-н, вул. Шевченка, буд. 151","Івано-франківська обл., Калуський р-н, вул. Шевченка, буд. 151",
ОФІЦЕРСЬКИЙ КОРПУС,Київська обласна організація,київ,39885348,"м.. київ, Дарницький, вул. Урлівська, буд. 7","м.. київ, Дарницький, вул. Урлівська, буд. 7",
ОФІЦЕРСЬКИЙ КОРПУС,Кіровоградська обласна організація,Кіровоградська область,39895597,"Кіровоградська обл., м. Кропивницький, вул. Шевченка, буд. 54А","Кіровоградська обл., м. Кропивницький, вул. Шевченка, буд. 54А",
ОФІЦЕРСЬКИЙ КОРПУС,Львівська обласна організація,Львівська область,39801509,"Львівська обл., м. Львів, вул. Старознесенська, буд. 64","Львівська обл., м. Львів, вул. Старознесенська, буд. 64",
ОФІЦЕРСЬКИЙ КОРПУС,Миколаївська обласна організація,Миколаївська область,39893480,"Миколаївська обл., м. Миколаїв, вул. Шосейна, буд. 12","Миколаївська обл., м. Миколаїв, вул. Шосейна, буд. 12",
ОФІЦЕРСЬКИЙ КОРПУС,Полтавська обласна організація,Полтавська область,39918744,"Полтавська обл., м. Полтава, вул. Мазепи Івана, буд. 10","Полтавська обл., м. Полтава, вул. Мазепи Івана, буд. 10",
ОФІЦЕРСЬКИЙ КОРПУС,Сумська обласна організація Політичної партії Офіцерський коррпус,Сумська область,39851345,"Сумська обл., Сумський р-н, вул. Село, буд. 20","Сумська обл., Сумський р-н, вул. Село, буд. 20",
ОФІЦЕРСЬКИЙ КОРПУС,Чернігівська обласна організація,Чернігівська область,39793996,"Чернігівська обл., м. Чернігів, просп. Миру, буд. 207А","Чернігівська обл., м. Чернігів, просп. Миру, буд. 207А",
ОФІЦЕРСЬКИЙ КОРПУС,Запорізька міська організація,Запорізька область,39953428,"Запорізька обл., м. Запоріжжя, вул. Дудикіна, буд. 19А","Запорізька обл., м. Запоріжжя, вул. Дудикіна, буд. 19А",
ОФІЦЕРСЬКИЙ КОРПУС,Київська міська організація,київ,39754213,"м.. київ, Печерський, вул. Грушевського Михайла, буд. 10","м.. київ, Печерський, вул. Грушевського Михайла, буд. 10",
ОФІЦЕРСЬКИЙ КОРПУС,Центральний офіс,київ,39712194,"м.. київ, Шевченківський, вул. Хмельницького Богдана (Шевченківський р-н, ), 51-А","м.. київ, Шевченківський, вул. Хмельницького Богдана (Шевченківський р-н, ), 51-А","АТ КБ Приватбанк, ЄДРПОУ: 14360570, р/р № UA223052990000026005026821108; АТ КБ Приватбанк, ЄДРПОУ: 14360570, р/р № UA903052990000026040006803617; АТ КБ Приватбанк, ЄДРПОУ: 14360570, р/р № UA853052990000035701046816466; АТ КБ Приватбанк, ЄДРПОУ: 14360570, р/р № UA703052990000035707010113478"
