Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Полтавська міська організація Партії Зелених України,Полтавська обл.,25162659,"Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4","Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Полтавська обласна організація Партії Зелених України,Полтавська обл.,25159977,"Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4","Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Ізмаїльська міська організація Партії Зелених України,Одеська обл.,26419400,"Одеська обл., м. Ізмаїл, вул. Комерційна, 107","Одеська обл., м. Ізмаїл, вул. Комерційна, 107",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Ізмаїльська районна організація Партії Зелених України,Одеська обл.,36913424,"Одеська обл., м. Ізмаїл, вул. Грибоєдова, 50","Одеська обл., м. Ізмаїл, вул. Грибоєдова, 50",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Одеська міська організація Партії Зелених України,Одеська обл.,25829165,"Одеська обл., м. Одеса, вул. Ніщинського композитора, 38","Одеська обл., м. Одеса, вул. Ніщинського композитора, 38",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Білгород-Дністровська міська організація Партії Зелених України,Одеська обл.,26053927,"Одеська обл., м. Білгород-Дністровський, вул. Анісімова, 4","Одеська обл., м. Білгород-Дністровський, вул. Анісімова, 4",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Южненська міська організація Партії Зелених України,Одеська обл.,26433601,"Одеська обл., м. Южне, просп. Григорівського десанту, 30\16","Одеська обл., м. Южне, просп. Григорівського десанту, 30\16",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Одеська обласна організація Партії Зелених України,Одеська обл.,25052417,"Одеська обл., м. Одеса, вул. Ніщинського композитора, 38","Одеська обл., м. Одеса, вул. Ніщинського композитора, 38",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Смілянська міська організація Партії Зелених України,Черкаська обл.,36463324,"Черкаська обл., м. Сміла, вул. Сунківська, 1","Черкаська обл., м. Сміла, вул. Сунківська, 1",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Черкаська обласна організація Партії Зелених України,Черкаська обл.,26043372,"Черкаська обл., м. Черкаси, вул. Гуржіївська, 13","Черкаська обл., м. Черкаси, вул. Гуржіївська, 13",
