Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Бердичівська міська організація ППУ,Житомирська область,26393764,"Житомирська обл., Бердичівський р-н, вул. Козацька, буд. 7","Житомирська обл., Бердичівський р-н, вул. Козацька, буд. 7",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Бердичівська районна організація ППУ,Житомирська область,26393793,"Житомирська обл., Бердичівський р-н, вул. Руська, буд. 4А","Житомирська обл., Бердичівський р-н, вул. Руська, буд. 4А",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Березівська районна організація ППУ,Одеська область,33490601,"Одеська обл., Березівський р-н, вул. Шевченко, буд. 22","Одеська обл., Березівський р-н, вул. Шевченко, буд. 22",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Березнегуватьська районна організація ППУ,Миколаївська область,34168634,"Миколаївська обл., Баштанський р-н, вул. Дружби, буд. 2","Миколаївська обл., Баштанський р-н, вул. Дружби, буд. 2",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Білоцерківська міська організація ППУ,Київська область,35785028,"Київська обл., Білоцерківський р-н, вул. Привокзальна, буд. 7","Київська обл., Білоцерківський р-н, вул. Привокзальна, буд. 7",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Білоцерківська районна організація ППУ,Київська область,35785075,"Київська обл., Білоцерківський р-н, вул. Привокзальна, буд. 7","Київська обл., Білоцерківський р-н, вул. Привокзальна, буд. 7",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Борзнянська районна організація ППУ,Чернігівська область,26350855,"Чернігівська обл., Ніжинський р-н, вул. Куліша Пантелеймона, буд. 59","Чернігівська обл., Ніжинський р-н, вул. Куліша Пантелеймона, буд. 59",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Бородянська районна організація ППУ,Київська область,35008679,"Київська обл., Бучанський р-н, вул. Будівельників, буд. 5","Київська обл., Бучанський р-н, вул. Будівельників, буд. 5",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Бородянська селищна організація ППУ,Київська область,34779720,"Київська обл., Бучанський р-н, вул. Будівельників, буд. 5","Київська обл., Бучанський р-н, вул. Будівельників, буд. 5",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Боярська міська організація ППУ,Київська область,34232772,"Київська обл., Фастівський р-н, вул. Садова, буд. 3","Київська обл., Фастівський р-н, вул. Садова, буд. 3",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Брусилівська районна організація ППУ,Житомирська область,26393646,"Житомирська обл., Житомирський р-н, вул. Братерська, буд. 22","Житомирська обл., Житомирський р-н, вул. Братерська, буд. 22",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Волинська обласна організація ППУ,Волинська область,33990569,"Волинська обл., Луцький р-н, вул. Рівненська, буд. 87/25","Волинська обл., Луцький р-н, вул. Рівненська, буд. 87/25",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Володарсько-Волинська районна організація ППУ,Житомирська область,26393741,"Житомирська обл., Житомирський р-н, вул. Ринкова, буд. 3","Житомирська обл., Житомирський р-н, вул. Ринкова, буд. 3",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Глухівська районна організація ППУ,Сумська область,39100041,"Сумська обл., Шосткинський р-н, вул. Шевченка, буд. 4","Сумська обл., Шосткинський р-н, вул. Шевченка, буд. 4",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Голопристанська районна організація ППУ,Херсонська область,34137543,"Херсонська обл., Скадовський р-н, вул. Горького, буд. 70","Херсонська обл., Скадовський р-н, вул. Горького, буд. 70",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Дніпропетровська обласна організація ППУ,Дніпропетровська область,33612490,"Дніпропетровська обл., м. Дніпро, вул. Пальмова, буд. 18","Дніпропетровська обл., м. Дніпро, вул. Пальмова, буд. 18",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Дрогобицька міська організація ППУ,Львівська область,39670296,"Львівська обл., Дрогобицький р-н, вул. Стрийська, буд. 179","Львівська обл., Дрогобицький р-н, вул. Стрийська, буд. 179",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Житомирська міська організація ППУ,Житомирська область,26393652,"Житомирська обл., м. Житомир, вул. Кафедральна, буд. 5А","Житомирська обл., м. Житомир, вул. Кафедральна, буд. 5А",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Золотоніська міська організація ППУ,Черкаська область,33827804,"Черкаська обл., Золотоніський р-н, вул. Садовий проїзд, буд. 4","Черкаська обл., Золотоніський р-н, вул. Садовий проїзд, буд. 4",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Золотоніська районна організація ППУ,Черкаська область,33827818,"Черкаська обл., Золотоніський р-н, вул. Садовий проїзд, буд. 4","Черкаська обл., Золотоніський р-н, вул. Садовий проїзд, буд. 4",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Івано-Франківська обласна організація ППУ,Івано-франківська область,39948342,"Івано-франківська обл., Івано-Франківський р-н, вул. Івасюка В., буд. 32","Івано-франківська обл., Івано-Франківський р-н, вул. Івасюка В., буд. 32",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Ірпінська міська організація ППУ,Київська область,26025782,"Київська обл., Бучанський р-н, вул. Михайлівська, буд. 20Б","Київська обл., Бучанський р-н, вул. Михайлівська, буд. 20Б",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Київська обласна організація Партії Пенсіонерів України,Київська область,25980643,"Київська обл., Фастівський р-н, пров. Ткаченка О., буд. 36А","Київська обл., Фастівський р-н, пров. Ткаченка О., буд. 36А",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Київська міська організація ППУ,київ,37973861,"м.. київ, Оболонський, просп. Порика Василя, буд. 7Б","м.. київ, Оболонський, просп. Порика Василя, буд. 7Б",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Кіровоградська обласна організація ППУ,Кіровоградська область,39767573,"Кіровоградська обл., м. Кропивницький, вул. Преображенська, буд. 2","Кіровоградська обл., м. Кропивницький, вул. Преображенська, буд. 2",
ПАРТІЯ РОЗВИТКУ ТА СОЦІАЛЬНОЇ СПРАВЕДЛИВОСТІ,Коростишівська районна організація ППУ,Житомирська область,26393617,"Житомирська обл., Житомирський р-н, вул. Різдвяна, буд. 70","Житомирська обл., Житомирський р-н, вул. Різдвяна, буд. 70",
