Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
РЕСПУБЛІКА,Бучанська міська організація,Київська область,39978306,"Київська обл., Бучанський р-н, бульв. Хмельницького Богдана, буд. 19","Київська обл., Бучанський р-н, бульв. Хмельницького Богдана, буд. 19",
РЕСПУБЛІКА,Дніпропетровська регіональна організація Політичної партії Республіка,Дніпропетровська область,39228514,"Дніпропетровська обл., м. Дніпро, вул. Уманська, буд. 10","Дніпропетровська обл., м. Дніпро, вул. Уманська, буд. 10",
РЕСПУБЛІКА,Донецька регіональна організація Політичної партії Республіка,Донецька область,39437716,"Донецька обл., Покровський р-н, вул. Центральна, буд. 212","Донецька обл., Покровський р-н, вул. Центральна, буд. 212",
РЕСПУБЛІКА,Закарпатська регіональна організація Політичної партії Республіка,Закарпатська область,39404895,"Закарпатська обл., Ужгородський р-н, вул. Гагаріна, буд. 52","Закарпатська обл., Ужгородський р-н, вул. Гагаріна, буд. 52",
РЕСПУБЛІКА,Запорізька регіональна організація Політичної партії Республіка,Запорізька область,39420435,"Запорізька обл., м. Запоріжжя, просп. Соборний, буд. 68","Запорізька обл., м. Запоріжжя, просп. Соборний, буд. 68",
РЕСПУБЛІКА,Івано-Франківська регіональна організація Політичної партії Республіка,Івано-франківська область,39426107,"Івано-франківська обл., Косівський р-н, вул. Незалежності, буд. 82","Івано-франківська обл., Косівський р-н, вул. Незалежності, буд. 82",
РЕСПУБЛІКА,Київська регіональна організація Політичної партії Республіка,Київська область,39437134,"Київська обл., Бучанський р-н, бульв. Хмельницького Богдана, буд. 19","Київська обл., Бучанський р-н, бульв. Хмельницького Богдана, буд. 19",
РЕСПУБЛІКА,в м. Києві організація,київ,39980184,"м.. київ, Подільський, вул. Кирилівська, буд. 127","м.. київ, Подільський, вул. Кирилівська, буд. 127",
РЕСПУБЛІКА,Миколаївська міська організація,Миколаївська область,40010192,"Миколаївська обл., м. Миколаїв, вул. Новобудівна (Корабельний р-н, ), 1","Миколаївська обл., м. Миколаїв, вул. Новобудівна (Корабельний р-н, ), 1",
РЕСПУБЛІКА,Миколаївська регіональна організація Політичної партії Республіка,Миколаївська область,39423043,"Миколаївська обл., м. Миколаїв, вул. Новобудівна (Корабельний р-н, ), 1","Миколаївська обл., м. Миколаїв, вул. Новобудівна (Корабельний р-н, ), 1",
РЕСПУБЛІКА,Одеська регіональна організація Політичної партії Республіка,Одеська область,39431557,"Одеська обл., м. Одеса, вул. Тіниста, буд. 9","Одеська обл., м. Одеса, вул. Тіниста, буд. 9",
РЕСПУБЛІКА,Полтавська міська організація,Полтавська область,39959755,"Полтавська обл., м. Полтава, вул. Соборності, буд. 44","Полтавська обл., м. Полтава, вул. Соборності, буд. 44",
РЕСПУБЛІКА,Сумська міська організація,Сумська область,39960959,"Сумська обл., м. Суми, вул. Іллінська, буд. 12","Сумська обл., м. Суми, вул. Іллінська, буд. 12",
РЕСПУБЛІКА,Сумська регіональна організація Політичної партії Республіка,Сумська область,39237969,"Сумська обл., м. Суми, вул. Іллінська, буд. 12/2","Сумська обл., м. Суми, вул. Іллінська, буд. 12/2",
РЕСПУБЛІКА,Тернопільська міська організація,Тернопільська область,39965564,"Тернопільська обл., Тернопільський р-н, вул. Тарнавського м.. генерала, буд. 22","Тернопільська обл., Тернопільський р-н, вул. Тарнавського м.. генерала, буд. 22",
РЕСПУБЛІКА,Тернопільська регіональна організація Політичної партії Республіка,Тернопільська область,39437779,"Тернопільська обл., Тернопільський р-н, вул. Тарнавського м.. генерала, буд. 22","Тернопільська обл., Тернопільський р-н, вул. Тарнавського м.. генерала, буд. 22",
РЕСПУБЛІКА,Ужгородська міська організація,Закарпатська область,39982270,"Закарпатська обл., Ужгородський р-н, вул. Грушевського Михайла, буд. 59","Закарпатська обл., Ужгородський р-н, вул. Грушевського Михайла, буд. 59",
РЕСПУБЛІКА,Харківська регіональна організація Політичної партії Республіка,Харківська область,39430794,"Харківська обл., м. Харків, вул. Плужника Євгена, буд. 35","Харківська обл., м. Харків, вул. Плужника Євгена, буд. 35",
РЕСПУБЛІКА,Харківська міська організація,Харківська область,39985575,"Харківська обл., м. Харків, вул. Плужника Євгена, буд. 23","Харківська обл., м. Харків, вул. Плужника Євгена, буд. 23",
РЕСПУБЛІКА,Херсонська регіональна організація Політичної партії Республіка,Херсонська область,39435808,"Херсонська обл., м. Херсон, вул. Нижня, буд. 69","Херсонська обл., м. Херсон, вул. Нижня, буд. 69",
РЕСПУБЛІКА,Чернівецька регіональна організація Політичної партії Республіка,Чернівецька область,43812988,"Чернівецька обл., Вижницький р-н, вул. Ювілейна, буд. 37","Чернівецька обл., Вижницький р-н, вул. Ювілейна, буд. 37","АТ КБ ""ПРИВАТБАНК"", ЄДРПОУ: 14360570, р/р № UA943562820000026008051529765"
РЕСПУБЛІКА,Чернігівська міська організація,Чернігівська область,39965522,"Чернігівська обл., м. Чернігів, вул. Гонча, буд. 17А","Чернігівська обл., м. Чернігів, вул. Гонча, буд. 17А",
РЕСПУБЛІКА,Чернігівська регіональна організація Політичної партії Республіка,Чернігівська область,39247055,"Чернігівська обл., Чернігівський р-н, вул. Космонавтів, буд. 92","Чернігівська обл., Чернігівський р-н, вул. Космонавтів, буд. 92",
РЕСПУБЛІКА,Полтавська регіональна організація Політичної партії Республіка,Полтавська область,39429768,"Полтавська обл., м. Полтава, вул. Мазепи Івана, буд. 59","Полтавська обл., м. Полтава, вул. Мазепи Івана, буд. 59",
РЕСПУБЛІКА,Центральний офіс,Чернігівська область,39207782,"Чернігівська обл., Чернігівський р-н, вул. Космонавтів, буд. 92","Чернігівська обл., Чернігівський р-н, вул. Космонавтів, буд. 92","АТ «Ощадбанк», ЄДРПОУ: 00032129, р/р № UA643226690000026004300104575"
