Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
РОЗУМНА ПОЛІТИКА,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,Тернопільська область,39517005,"Тернопільська обл., Тернопільський р-н, вул. Живова, буд. 11","Тернопільська обл., Тернопільський р-н, вул. Живова, буд. 11",
РОЗУМНА ПОЛІТИКА,ІВАНО-ФРАНКІВСЬКА ОБЛАСНА організація,Івано-франківська область,39508603,"Івано-франківська обл., Івано-Франківський р-н, вул. Бельведерська, буд. 10А","Івано-франківська обл., Івано-Франківський р-н, вул. Бельведерська, буд. 10А",
РОЗУМНА ПОЛІТИКА,ЖИТОМИРСЬКА ОБЛАСНА організація,Житомирська область,39423567,"Житомирська обл., м. Житомир, вул. Київська, буд. 59","Житомирська обл., м. Житомир, вул. Київська, буд. 59",
РОЗУМНА ПОЛІТИКА,КИЇВСЬКА ОБЛАСНА організація,Київська область,39318618,"Київська обл., Бучанський р-н, вул. Вітянська, буд. 2Б","Київська обл., Бучанський р-н, вул. Вітянська, буд. 2Б",
РОЗУМНА ПОЛІТИКА,КИЇВСЬКА МІСЬКА організація,київ,39400450,"м.. київ, Шевченківський, вул. Багговутівська, буд. 1В","м.. київ, Шевченківський, вул. Багговутівська, буд. 1В",
РОЗУМНА ПОЛІТИКА,РІВНЕНСЬКА ОБЛАСНА організація,Рівненська область,39519201,"Рівненська обл., Рівненський р-н, вул. Соборна, буд. 112","Рівненська обл., Рівненський р-н, вул. Соборна, буд. 112",
РОЗУМНА ПОЛІТИКА,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,Дніпропетровська область,39368192,"Дніпропетровська обл., Новомосковський р-н, вул. Гетьманська, буд. 43","Дніпропетровська обл., Новомосковський р-н, вул. Гетьманська, буд. 43",
РОЗУМНА ПОЛІТИКА,ЧЕРКАСЬКА ОБЛАСНА організація,Черкаська область,39542382,"Черкаська обл., м. Черкаси, вул. Припортова, буд. 22А","Черкаська обл., м. Черкаси, вул. Припортова, буд. 22А",
РОЗУМНА ПОЛІТИКА,ЗАКАРПАТСЬКА ОБЛАСНА організація,Закарпатська область,39341186,"Закарпатська обл., Ужгородський р-н, вул. Горіхова, буд. 1","Закарпатська обл., Ужгородський р-н, вул. Горіхова, буд. 1",
РОЗУМНА ПОЛІТИКА,ПОЛТАВСЬКА ОБЛАСНА організація,Полтавська область,39522523,"Полтавська обл., м. Полтава, вул. Котляревського, буд. 3","Полтавська обл., м. Полтава, вул. Котляревського, буд. 3",
РОЗУМНА ПОЛІТИКА,ЧЕРНІВЕЦЬКА ОБЛАСНА організація,Чернівецька область,39349164,"Чернівецька обл., Чернівецький р-н, вул. Воробкевича Сидора, буд. 5","Чернівецька обл., Чернівецький р-н, вул. Воробкевича Сидора, буд. 5",
РОЗУМНА ПОЛІТИКА,КІРОВОГРАДСЬКА ОБЛАСНА організація,Кіровоградська область,39338723,"Кіровоградська обл., м. Кропивницький, вул. Чикаленка Євгена, буд. 1","Кіровоградська обл., м. Кропивницький, вул. Чикаленка Євгена, буд. 1",
РОЗУМНА ПОЛІТИКА,МИКОЛАЇВСЬКА ОБЛАСНА організація,Миколаївська область,39388292,"Миколаївська обл., м. Миколаїв, просп. Центральний, буд. 93Д","Миколаївська обл., м. Миколаїв, просп. Центральний, буд. 93Д",
РОЗУМНА ПОЛІТИКА,ХЕРСОНСЬКА ОБЛАСНА організація,Херсонська область,39387105,"Херсонська обл., м. Херсон, вул. Олеся Гончара, буд. 19","Херсонська обл., м. Херсон, вул. Олеся Гончара, буд. 19",
РОЗУМНА ПОЛІТИКА,Центральний офіс,київ,39244688,"м.. київ, Шевченківський, просп. Перемоги, буд. 12","м.. київ, Шевченківський, просп. Перемоги, буд. 12",
