Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"Івано-Франківська обл., Калуський р-н, м. Калуш, вул. Підвальна 8, приміщення №3,№4,№5,№6, перший поверх",51.8,,01.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Івано-Франківська обл., Косівський р-н, м. Косів, вул. Небесної Сотні, буд. 50/1, приміщення №6,№8, другий поверх",57.6,,01.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Івано-Франківська обл., Надвірнянський р-н, м. Надвірна, вул. Мазепи Гетьмана 25а, приміщення №15, другий поверх",37.5,,01.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Івано-Франківська обл., Коломийський р-н, м. Коломия, вул. Мазепи І. гетьмана, буд. 8, приміщення№8,№9,№10,№, другий поверх",53.9,,01.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Івано-Франківськ, вул. Грушевського, буд. 14 приміщення №10, 11, 12, 13, 14, 15, 16, 17, перший поверх",94.7,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Івано-Франківська обл., Верховинський р-н, смт Верховина, вул. Гуцульського повстання, будівля 1Д/3, приміщення №IIІ, другий поверх",31.4,,01.03.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Луганська обл., м. Сєвєродонецьк, просп. Гвардійський, буд. 47/22",46.8,,17.02.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Луганська обл., Новоайдарський р-н, смт Новоайдар, вул. Незалежності, буд. 1",53.5,6525802,21.07.2021,0,Оренда,НОВОАЙДАРСЬКЕ СІЛЬСЬКЕ СПОЖИВЧЕ ТОВАРИСТВО,05440034,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Луганська обл., Сватівський р-н, м. Сватове, вул. Леніна (вул. Державна; вул. Каштанова), буд. 60, частина приміщення на другому поверсі ""Торгівельно-офісного центру""",45.8,,06.08.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Луганська обл., Старобільський р-н, м. Старобільськ, вул. Миру, буд. 6А",54.3,,14.01.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, вул. Левка Лукʼяненко (Маршала Тимошенко), буд. 13А, група приміщень 625",75.3,,25.12.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Закарпатська обл., м. Хуст, вул. Духновича, буд. №17А/7",26.6,2581329521120,16.09.2022,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПАРТНЕР""",31230573,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Закарпатська обл., м. Мукачево, вул. Гоголя Миколи, буд. 2, приміщення 1",47.5,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Закарпатська обл., м. Рахів, вул. Миру, буд. №52, нежитлове приміщення №3",31.24,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Закарпатська обл., м. Рахів, вул. Миру, буд. №52, нежитлове приміщення №3",31.24,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Закарпатська обл., Берегівський р-н, м. Берегове, вул. Хмельницького Богдана, буд. 49",58.0,,09.03.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Ракоці Ф, буд. 22",80.3,,01.12.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
