Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"м. Чернігів, вул. Магістратська, буд. 4/19",62.7,,13.02.2023,0,Тимчасове безоплатне  користування,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Житловий будинок,"м. Київ, вул. Грушевського Михайла, буд. 9А, нежитлове прим.№2, секція ""Г""",153.3,1599872480000,01.04.2024,,"Безоплатне користування майном, що орендоване Політичною партією «УДАР Віталія Кличка»","ТОВ ""АІС-СП""",25201952,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Офіс,"м. Дніпро, просп. Дмитра Яворницького 3, буд. 2001",20.0,2451057812000,01.01.2021,,Безоплатне користування,Сімонов Юрій Юрійович,44501620,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Офіс,"Харківська обл., м. Харків, вул. Достоєвського, буд. 3",15.0,232303363101,01.03.2021,13837.2,Оренда,"ТОВ ""ПП КОНС""",24347932,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Нежитлова будівля,"Херсонська обл., м. Херсон, вул. Суворова, буд. 37",10.0,31220272,12.06.2020,0,Договір позички,"Товариство з обмеженою відповідальністю ""Геліос-1""",30380358,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Офіс,"м. Житомир, вул. Басейна, буд. 2А",52.3,,30.06.2021,120000,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Офіс,"м. Баранівка, вул. Соборна, буд. 24",102.0,,15.08.2021,63050,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Офіс,"м. Овруч, вул. Т. Шевченка, буд. 53А",47.0,,01.08.2023,400000,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Офіс,"смт Пулини, вул. Шевченка, буд. 116",57.1,,15.06.2022,442789.12,Оренда,КБП Пулинський водоканал,36083673,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
Офіс,"м. Малин, вул. Грушевського, буд. 3Б",350.0,,01.11.2024,200000,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2024-12-31,4,2024
