Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
УКРАЇНА СОБОРНА,Київська обласна організація,київ,33715713,"м.. київ, Оболонський, вул. Прирічна, буд. 37","м.. київ, Оболонський, вул. Прирічна, буд. 37",
УКРАЇНА СОБОРНА,Територіальна партійна Київська міська організація,київ,33882630,"м.. київ, Дарницький, вул. Вербицького Архітектора, буд. 32","м.. київ, Дарницький, вул. Вербицького Архітектора, буд. 32",
УКРАЇНА СОБОРНА,Дніпровська районна організація в м. Києві,київ,33884477,"м.. київ, Дніпровський, вул. Ентузіастів, буд. 15","м.. київ, Дніпровський, вул. Ентузіастів, буд. 15",
УКРАЇНА СОБОРНА,Дарницька районна в м. Києві організація,київ,33937154,"м.. київ, Дарницький, вул. Тепловозна, буд. 1","м.. київ, Дарницький, вул. Тепловозна, буд. 1",
УКРАЇНА СОБОРНА,Оболонська районна в м. Києві організація,київ,33994830,"м.. київ, Оболонський, просп. Героїв Сталінграда, буд. 8","м.. київ, Оболонський, просп. Героїв Сталінграда, буд. 8",
УКРАЇНА СОБОРНА,Львівська обласна організація,Львівська область,33667199,"Львівська обл., м. Львів, вул. Кривоноса м. ., буд. 33","Львівська обл., м. Львів, вул. Кривоноса м. ., буд. 33",
УКРАЇНА СОБОРНА,Києво-Святошинська районна організація,Київська область,36964065,"Київська обл., Фастівський р-н, вул. Соборності, буд. 53","Київська обл., Фастівський р-н, вул. Соборності, буд. 53",
УКРАЇНА СОБОРНА,Вінницька обласна організація,Вінницька область,33911670,"Вінницька обл., Вінницький р-н, вул. Писарєва, буд. 6","Вінницька обл., Вінницький р-н, вул. Писарєва, буд. 6",
УКРАЇНА СОБОРНА,Житомирська обласна організація,Житомирська область,33874723,"Житомирська обл., Бердичівський р-н, вул. Володимирська, буд. 1","Житомирська обл., Бердичівський р-н, вул. Володимирська, буд. 1",
УКРАЇНА СОБОРНА,Івано-Франківська обласна організація,Івано-франківська область,33859548,"Івано-франківська обл., Івано-Франківський р-н, вул. Галицька, буд. 11","Івано-франківська обл., Івано-Франківський р-н, вул. Галицька, буд. 11",
УКРАЇНА СОБОРНА,Івано-Франківська міська організація,Івано-франківська область,37183236,"Івано-франківська обл., Івано-Франківський р-н, вул. Галицька, буд. 11","Івано-франківська обл., Івано-Франківський р-н, вул. Галицька, буд. 11",
УКРАЇНА СОБОРНА,Волинська обласна організація,Волинська область,33559715,"Волинська обл., Луцький р-н, вул. Писаревського, буд. 7","Волинська обл., Луцький р-н, вул. Писаревського, буд. 7",
УКРАЇНА СОБОРНА,Хустська районна організація,Закарпатська область,34153991,"Закарпатська обл., Хустський р-н, вул. без назви, буд. 287","Закарпатська обл., Хустський р-н, вул. без назви, буд. 287",
УКРАЇНА СОБОРНА,Хустська міська організація,Закарпатська область,34005216,"Закарпатська обл., Хустський р-н, вул. Косична, буд. 62","Закарпатська обл., Хустський р-н, вул. Косична, буд. 62",
УКРАЇНА СОБОРНА,Миколаївська обласна організація,Миколаївська область,33896218,"Миколаївська обл., м. Миколаїв, вул. Шосейна, буд. 115","Миколаївська обл., м. Миколаїв, вул. Шосейна, буд. 115",
УКРАЇНА СОБОРНА,Донецька обласна організація,Донецька область,33756304,"Донецька обл., м. Донецьк, вул. Кірова, буд. 47","Донецька обл., м. Донецьк, вул. Кірова, буд. 47",
УКРАЇНА СОБОРНА,Сумська обласна організація,Сумська область,41559395,"Сумська обл., м. Суми, просп. Лушпи Михайла, буд. 54","Сумська обл., м. Суми, просп. Лушпи Михайла, буд. 54",
УКРАЇНА СОБОРНА,Херсонська обласна організація,Херсонська область,33929541,"Херсонська обл., м. Херсон, вул. Макарова, буд. 3","Херсонська обл., м. Херсон, вул. Макарова, буд. 3",
УКРАЇНА СОБОРНА,Одеська обласна організація,Одеська область,34025269,"Одеська обл., м. Одеса, вул. Різовська, буд. 36","Одеська обл., м. Одеса, вул. Різовська, буд. 36",
УКРАЇНА СОБОРНА,Чернігівська обласна організація,Чернігівська область,35506288,"Чернігівська обл., м. Чернігів, вул. Бєлова Генерала, буд. 23","Чернігівська обл., м. Чернігів, вул. Бєлова Генерала, буд. 23",
УКРАЇНА СОБОРНА,Запорізька обласна організація,Запорізька область,33961056,"Запорізька обл., м. Запоріжжя, вул. Товариська, буд. 37","Запорізька обл., м. Запоріжжя, вул. Товариська, буд. 37",
УКРАЇНА СОБОРНА,Рівненська обласна організація,Рівненська область,33803762,"Рівненська обл., Рівненський р-н, вул. Петлюри Симона, буд. 1","Рівненська обл., Рівненський р-н, вул. Петлюри Симона, буд. 1",
УКРАЇНА СОБОРНА,Хмельницька районна організація,Хмельницька область,34007082,"Хмельницька обл., Хмельницький р-н, вул. Камʼянецька, буд. 257","Хмельницька обл., Хмельницький р-н, вул. Камʼянецька, буд. 257",
УКРАЇНА СОБОРНА,Хмельницька міська організація,Хмельницька область,33953967,"Хмельницька обл., Хмельницький р-н, вул. Камʼянецька, буд. 257","Хмельницька обл., Хмельницький р-н, вул. Камʼянецька, буд. 257",
УКРАЇНА СОБОРНА,Центральний офіс,київ,33401197,"м.. київ, Голосіївський, вул. Промислова (Голосіївський р-н, ), 4/7","м.. київ, Голосіївський, вул. Промислова (Голосіївський р-н, ), 4/7",
