Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ПАТРІОТ,Тернопільська міська організація,Тернопільська область,36974576,"Тернопільська обл., Тернопільський р-н, просп. Бандери Степана, буд. 84","Тернопільська обл., Тернопільський р-н, просп. Бандери Степана, буд. 84",
ПАТРІОТ,Сумська обласна організація Політичної Партії СПРАВЕДЛИВА Україна,Сумська область,33699147,"Сумська обл., м. Суми, вул. Куликівська, буд. 52","Сумська обл., м. Суми, вул. Куликівська, буд. 52",
ПАТРІОТ,Черкаська міська організація Політичної Партії СПРАВЕДЛИВА Україна,Черкаська область,36994964,"Черкаська обл., м. Черкаси, вул. Сумгаїтська, буд. 8/5","Черкаська обл., м. Черкаси, вул. Сумгаїтська, буд. 8/5",
ПАТРІОТ,Дніпропетровська обласна організація,Дніпропетровська область,42195463,"Дніпропетровська обл., м. Дніпро, вул. Панікахи, буд. 75","Дніпропетровська обл., м. Дніпро, вул. Панікахи, буд. 75",
ПАТРІОТ,Харцизька міська організація Політичної Партії СПРАВЕДЛИВА Україна,Донецька область,37786353,"Донецька обл., Донецький р-н, вул. Металургів, буд. 5","Донецька обл., Донецький р-н, вул. Металургів, буд. 5",
ПАТРІОТ,ЖИТОМИРСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ  СПРАВЕДЛИВА УКРАЇНА,Житомирська область,33649819,"Житомирська обл., м. Житомир, вул. Космонавтів, буд. 46","Житомирська обл., м. Житомир, вул. Космонавтів, буд. 46",
ПАТРІОТ,ЧЕРНІГІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ СПРАВЕДЛИВА УКРАЇНА,Чернігівська область,33799814,"Чернігівська обл., Ніжинський р-н, вул. Преображенська, буд. 7","Чернігівська обл., Ніжинський р-н, вул. Преображенська, буд. 7",
ПАТРІОТ,РІВНЕНСЬКА МІСЬКА ОРГАНІЗАЦІЯ СПРАВЕДЛИВА УКРАЇНА,Рівненська область,34021023,"Рівненська обл., Рівненський р-н, вул. Свєшнікова І., буд. 4","Рівненська обл., Рівненський р-н, вул. Свєшнікова І., буд. 4",
ПАТРІОТ,Закарпатська обласна організація,Закарпатська область,33681501,"Закарпатська обл., Ужгородський р-н, просп. Свободи, буд. 55","Закарпатська обл., Ужгородський р-н, просп. Свободи, буд. 55","АТ КБ ПРИВАТБАНК, ЄДРПОУ: 33681501, р/р № UA363052990000026006043606866"
ПАТРІОТ,Тернопільська обласна організація,Тернопільська область,33539395,"Тернопільська обл., Тернопільський р-н, вул. Галицька, буд. 34","Тернопільська обл., Тернопільський р-н, вул. Галицька, буд. 34","АТ ПУМБ, ЄДРПОУ: 33539395, р/р № UA693348510000000026000126621"
ПАТРІОТ,Севастопольська міська організація Політичної Партії СПРАВЕДЛИВА Україна,севастополь,38027359,"м.. севастополь, Балаклавський, вул. Гвардейська, буд. 5","м.. севастополь, Балаклавський, вул. Гвардейська, буд. 5",
ПАТРІОТ,Кримська Республіканська організація Політичної Партії СПРАВЕДЛИВА Україна,Автономна республіка крим,37979250,"Автономна республіка крим, м. Сімферополь, вул. Комсомольська, буд. 6","Автономна республіка крим, м. Сімферополь, вул. Комсомольська, буд. 6",
ПАТРІОТ,Донецька обласна організація,Рівненська область,33956271,"Рівненська обл., Дубенський р-н, вул. Європейська, буд. 1Б","Рівненська обл., Дубенський р-н, вул. Європейська, буд. 1Б",
ПАТРІОТ,Рівненська обласна організація,Рівненська область,33616076,"Рівненська обл., Рівненський р-н, вул. Чебишева, буд. 26 б","Рівненська обл., Рівненський р-н, вул. Чебишева, буд. 26 б",
ПАТРІОТ,Волинська обласна організація,Волинська область,33731646,"Волинська обл., Луцький р-н, вул. Степова, буд. 129","Волинська обл., Луцький р-н, вул. Степова, буд. 129",
ПАТРІОТ,Полтавська міська організація Політичної Партії СПРАВЕДЛИВА Україна,Полтавська область,37863233,"Полтавська обл., м. Полтава, вул. 9 Травня, буд. 21","Полтавська обл., м. Полтава, вул. 9 Травня, буд. 21",
ПАТРІОТ,Івано-Франківська обласна організація,Івано-франківська область,37952621,"Івано-франківська обл., Івано-Франківський р-н, вул. Федьковича, буд. 114А","Івано-франківська обл., Івано-Франківський р-н, вул. Федьковича, буд. 114А",
ПАТРІОТ,Запорізька міська організація,Запорізька область,37708811,"Запорізька обл., м. Запоріжжя, вул. Амбулаторна, буд. 12","Запорізька обл., м. Запоріжжя, вул. Амбулаторна, буд. 12",
ПАТРІОТ,Одеська обласна організація,Одеська область,37946932,"Одеська обл., м. Одеса, вул. Ніжинська, буд. 12","Одеська обл., м. Одеса, вул. Ніжинська, буд. 12",
ПАТРІОТ,Чернівецька обласна організація,Чернівецька область,33540044,"Чернівецька обл., Чернівецький р-н, вул. Борівецька, буд. 5А","Чернівецька обл., Чернівецький р-н, вул. Борівецька, буд. 5А",
ПАТРІОТ,Миколаївська обласна організація,Миколаївська область,37992863,"Миколаївська обл., м. Миколаїв, вул. Будівельників, буд. 69","Миколаївська обл., м. Миколаїв, вул. Будівельників, буд. 69",
ПАТРІОТ,Броварська міська організація політичної партії СПРАВЕДЛИВА Україна,Київська область,33847160,"Київська обл., Броварський р-н, вул. Грушевського Михайла, буд. 15","Київська обл., Броварський р-н, вул. Грушевського Михайла, буд. 15",
ПАТРІОТ,Львівська обласна організація,Львівська область,33753366,"Львівська обл., м. Львів, вул. Карпинця І., буд. 18А","Львівська обл., м. Львів, вул. Карпинця І., буд. 18А",
ПАТРІОТ,Вінницька обласна організація,Вінницька область,33587695,"Вінницька обл., Вінницький р-н, вул. Коріатовичів Князів, буд. 53","Вінницька обл., Вінницький р-н, вул. Коріатовичів Князів, буд. 53",
ПАТРІОТ,Харківська обласна організація,Харківська область,37999785,"Харківська обл., м. Харків, вул. Валентинівська, буд. 31А","Харківська обл., м. Харків, вул. Валентинівська, буд. 31А",
ПАТРІОТ,Київська міська територіальна організація,київ,33601300,"м.. київ, Оболонський, вул. Москворецька, буд. 6","м.. київ, Оболонський, вул. Москворецька, буд. 6",
ПАТРІОТ,Київська обласна організація політичної партії СПРАВЕДЛИВА Україна,київ,37331532,"м.. київ, Дарницький, вул. Срібнокільська, буд. 1","м.. київ, Дарницький, вул. Срібнокільська, буд. 1",
ПАТРІОТ,ЧЕРКАСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ СПРАВЕДЛИВА УКРАЇНА,Черкаська область,37067495,"Черкаська обл., м. Черкаси, вул. Розкопна, буд. 149/2","Черкаська обл., м. Черкаси, вул. Розкопна, буд. 149/2",
ПАТРІОТ,Бориспільська міська організація,Київська область,33768896,"Київська обл., Бориспільський р-н, вул. Остапа Вишні, буд. 5","Київська обл., Бориспільський р-н, вул. Остапа Вишні, буд. 5",
ПАТРІОТ,Полтавська обласна організація,Полтавська область,37914628,"Полтавська обл., м. Полтава, пров. Цілинний, буд. 33","Полтавська обл., м. Полтава, пров. Цілинний, буд. 33",
ПАТРІОТ,Житомирська міська організація Політичної Партії СПРАВЕДЛИВА Україна,Житомирська область,37976401,"Житомирська обл., м. Житомир, вул. Вокзальна, буд. 10","Житомирська обл., м. Житомир, вул. Вокзальна, буд. 10",
ПАТРІОТ,Кіровоградська обласна організація,Кіровоградська область,37964401,"Кіровоградська обл., м. Кропивницький, вул. Преображенська, буд. 17/65","Кіровоградська обл., м. Кропивницький, вул. Преображенська, буд. 17/65",
ПАТРІОТ,Центральний офіс,київ,33443939,"м.. київ, Голосіївський, вул. Антоновича, буд. 157","м.. київ, Голосіївський, вул. Антоновича, буд. 157","ощадбанк, ЄДРПОУ: 00032129, р/р № UA693226690000026007300097690; укрексімбанк, ЄДРПОУ: 00032112, р/р № UA073223130000026000000000579"
