Поточне значення,"На що замінити якщо з помилкою, якщо заміна не допоможе ->",Інші примітки,Після LanguageTool,,для LanguageTool,Необхідність додаткової перевірки пізніше
Александр,Олександр,,Олександр,,Олександр,
Александра,Олександра,,Олександра,,Олександра,
Алексей,Олексій,,Олексій,,Олексій,
Алеся,Олеся,,Олеся,,Олеся,
Алина,Аліна,,Аліна,,Аліна,
Анастасия,Анастасія,,Анастасія,,Анастасія,
Анатолий,Анатолій,,Анатолій,,Анатолій,
Андрей,Андрій,,Андрій,,Андрій,
Антонина,Антоніна,,Антоніна,,Антоніна,
Арина,Аріна,,Аріна,,Аріна,
Аркадий,Аркадій,,Аркадій,,Аркадій,
Валерий,Валерій,,Валерій,,Валерій,
Вероника,Вероніка,,Вероніка,,Вероніка,
Виктор,Віктор,,Віктор,,Віктор,
Виктория,Вікторія,,Вікторія,,Вікторія,
Виталий,Віталій,,Віталій,,Віталій,
Владимир,Володимир,,Володимир,,Володимир,
Геннадий,Геннадій,,Геннадій,,Геннадій,
Григорий,Григорій,,Григорій,,Григорій,
Дарья,Дарʼя,,Дарʼя,,Дарʼя,
Дмитрий,Дмитро,,Дмитро,,Дмитро,
Евгений,Євгеній,,Євгеній,,Євгеній,
Евгения,Євгенія,,Євгенія,,Євгенія,
Екатерина,Катерина,,Катерина,,Катерина,
Зинаида,Зінаїда,,Зінаїда,,Зінаїда,
И,,,И,,И,
Иван,Іван,,Іван,,Іван,
Игорь,Ігор,,Ігор,,Ігор,
Инна,Інна,,Інна,,Інна,
Ирина,Ірина,,Ірина,,Ірина,
Леонид,Леонід,,Леонід,,Леонід,
Лилия,Лілія,,Лілія,,Лілія,
Михаил,Михайло,,Михайло,,Михайло,
НАТАЛИЯ,Наталія,,Наталія,,Наталія,
Наталия,Наталія,,Наталія,,Наталія,
Наталья,Наталія,,Наталія,,Наталія,
Николай,Микола,,Микола,,Микола,
Нина,Ніна,,Ніна,,Ніна,
Одисей,Одіссей,,Одіссей,,Одіссей,
Павел,Павло,,Павло,,Павло,
Полина,Поліна,,Поліна,,Поліна,
Светлана,Світлана,,Світлана,,Світлана,
Сергей,Сергій,,Сергій,,Сергій,
Таисия,Таїсія,,Таїсія,,Таїсія,
Татьяна,Тетяна,,Тетяна,,Тетяна,
Феликс,Фелікс,,Фелікс,,Фелікс,
Юлий,Юлій,,Юлій,,Юлій,
Юлия,Юлія,,Юлія,,Юлія,
Юрий,Юрій,,Юрій,,Юрій,
