Поточне значення,"На що замінити якщо з помилкою, якщо заміна не допоможе ->"
Аанатолій,Анатолій
Аандрій,Андрій
Аантолій,Анатолій
Аатолій,Анатолій
Абди,Абді
Ав,А
Аветик,Аветік
Авєтік,Аветік
Авксендій,Авксентій
Агнесса,Агнеса
Аднрій,Андрій
Адрій,Андрій
Аиастасія,Анастасія
Ала,Алла
Алевтіна,Алевтина
Александр,Олександр
Александра,Олександра
Алексей,Олексій
Алеся,Олеся
Алефтина,Алевтина
Алєся,Олеся
Алина,Аліна
Аліні,Аліна
АЛЛА,Алла
Аллла,Алла
Алчип,Алчіп
Альбнрт,Альберт
Альвгна,Альвіна
Альозій,Алойзій
АЛЬОНА,Альона
Анантолій,Анатолій
Анастасия,Анастасія
АНАСТАСІЯ,Анастасія
Анаталій,Анатолій
Анатоій,Анатолій
Анатоілй,Анатолій
Анатолий,Анатолій
Анатолії,Анатолій
Анатолія,Анатолій
Анатолй,Анатолій
Анатоллій,Анатолій
Анатоль,Анатолій
Андраник,Андранік
Андргй,Андрій
Андрей,Андрій
Андрея,Андрій
Андрий,Андрій
Андріанна,Андріана
Андріїї,Андрій
Андрїй,Андрій
Андрш,Андрій
Анелля,Анеля
АНЖЕЛА,Анжела
АННА,Анна
Анне,Анна
Анніта,Аніта
Анотоніна,Антоніна
Анрій,Андрій
Антол,Антон
Антолій,Анатолій
Антонина,Антоніна
Антоніну,Антоніна
Араїк,Араік
Аракся,Араксія
Арзен,Арсен
Арина,Аріна
Аркадий,Аркадій
Арпад-роберт,Арпад-Роберт
Арсєн,Арсен
Артема,Артем
Артемій-Юліян,Артемій-Юліан
АРТУР,Артур
Артьом,Артем
Атилло,Атилла
Атталія,Аталія
Аудріана,Адріана
Багаудін,Багаутдін
Багдан,Богдан
Бела,Белла
Богдам,Богдан
БОГДАН,Богдан
БОГДАНА,Богдана
Богданна,Богдана
Боглан,Богдан
Боедан,Богдан
Боліслав,Болеслав
Бори,Борис
Боріс,Борис
Бронислав,Броніслав
В.,В
Вагид,Вагід
Вадентим,Валентин
Вадім,Вадим
Важи,Важа
Валантина,Валентина
Валенина,Валентина
Валенти,Валентин
ВАЛЕНТИНА,Валентина
Валентини,Валентина
Валентинна,Валентина
Валентину,Валентина
Валентін,Валентин
Валентіна,Валентина
Валентнина,Валентина
Валерий,Валерій
ВАЛЕРІЙ,Валерій
Валеріян,Валеріан
Валетина,Валентина
Валик,Валентин
Валинтин,Валентин
Валнрій,Валерій
Валнтина,Валентина
Валодимир,Володимир
Варерій,Валерій
Васил,Василь
ВАСИЛЬ,Василь
Василь-Володими,Василь-Володимир
Васілій,Василій
Вахтангі,Вахтанг
Вгга,Віта
Вггалш,Віталій
